micro_benchmark,afl,aflplusplus,eclipser,entropic,honggfuzz,libfuzzer
curl_curl_fuzzer_http-IDX74,4,1,3,6,2,5
curl_curl_fuzzer_http-IDX75,2,6,3,4,1,5
curl_curl_fuzzer_http-IDX76,5,2,4,3,1,6
curl_curl_fuzzer_http-IDX77,1,3,2,4,5,6
curl_curl_fuzzer_http-IDX78,1,5,4,3,6,2
curl_curl_fuzzer_http-IDX79,2,6,3,4,1,5
curl_curl_fuzzer_http-IDX8,2,3,4,6,1,5
curl_curl_fuzzer_http-IDX80,3,2,5,4,1,6
curl_curl_fuzzer_http-IDX81,3,1,6,4,2,5
curl_curl_fuzzer_http-IDX82,4,2,3,5,1,6
curl_curl_fuzzer_http-IDX83,1,3,2,5,4,6
curl_curl_fuzzer_http-IDX84,1,2,4,5,3,6
curl_curl_fuzzer_http-IDX85,6,3,5,2,4,1
curl_curl_fuzzer_http-IDX86,3,5,1,6,4,2
curl_curl_fuzzer_http-IDX87,4,1,3,6,2,5
curl_curl_fuzzer_http-IDX88,3,2,6,4,1,5
curl_curl_fuzzer_http-IDX89,6,2,5,4,1,3
curl_curl_fuzzer_http-IDX9,2,6,5,4,1,3
curl_curl_fuzzer_http-IDX90,2,1,4,5,3,6
curl_curl_fuzzer_http-IDX92,2,6,3,5,1,4
curl_curl_fuzzer_http-IDX93,3,2,6,4,1,5
curl_curl_fuzzer_http-IDX94,5,2,3,4,1,6
curl_curl_fuzzer_http-IDX95,5,6,4,3,2,1
curl_curl_fuzzer_http-IDX96,3,2,6,5,1,4
curl_curl_fuzzer_http-IDX97,4,1,5,2,6,3
curl_curl_fuzzer_http-IDX98,2,1,3,4,5,6
curl_curl_fuzzer_http-IDX99,4,1,3,2,5,6
freetype2-2017-IDX0,2,1,4,5,3,6
freetype2-2017-IDX1,6,2,5,4,1,3
freetype2-2017-IDX10,6,3,5,2,1,4
freetype2-2017-IDX11,4,1,3,2,5,6
freetype2-2017-IDX12,4,1,3,6,2,5
freetype2-2017-IDX13,6,4,5,3,2,1
freetype2-2017-IDX14,5,4,6,3,1,2
freetype2-2017-IDX15,6,5,3,2,1,4
freetype2-2017-IDX16,6,3,2,5,1,4
freetype2-2017-IDX17,5,1,3,6,2,4
freetype2-2017-IDX18,3,6,1,4,2,5
freetype2-2017-IDX19,6,3,2,4,1,5
freetype2-2017-IDX2,3,2,4,6,1,5
freetype2-2017-IDX20,6,3,5,2,1,4
freetype2-2017-IDX21,5,2,6,4,1,3
freetype2-2017-IDX22,4,3,1,5,2,6
freetype2-2017-IDX23,6,2,3,4,1,5
freetype2-2017-IDX24,6,4,5,3,1,2
freetype2-2017-IDX25,2,1,3,6,5,4
freetype2-2017-IDX26,5,4,6,2,1,3
freetype2-2017-IDX27,4,2,3,6,1,5
freetype2-2017-IDX28,6,4,5,2,1,3
freetype2-2017-IDX29,3,1,4,6,2,5
freetype2-2017-IDX3,2,3,4,5,1,6
freetype2-2017-IDX30,4,3,2,5,1,6
freetype2-2017-IDX31,3,1,6,5,4,2
freetype2-2017-IDX32,5,2,1,4,3,6
freetype2-2017-IDX33,6,5,2,4,1,3
freetype2-2017-IDX34,5,2,4,3,1,6
freetype2-2017-IDX35,6,5,2,3,1,4
freetype2-2017-IDX36,4,2,1,5,6,3
freetype2-2017-IDX37,6,5,4,2,1,3
freetype2-2017-IDX38,6,2,5,4,1,3
freetype2-2017-IDX39,6,1,5,3,2,4
freetype2-2017-IDX4,1,2,3,5,4,6
freetype2-2017-IDX40,2,1,5,3,4,6
freetype2-2017-IDX41,5,1,3,6,2,4
freetype2-2017-IDX42,6,1,3,4,2,5
freetype2-2017-IDX43,5,1,3,6,4,2
freetype2-2017-IDX44,2,1,3,6,5,4
freetype2-2017-IDX45,6,5,2,4,1,3
freetype2-2017-IDX46,3,1,4,6,2,5
freetype2-2017-IDX47,5,3,1,4,2,6
freetype2-2017-IDX48,6,4,5,3,1,2
freetype2-2017-IDX5,6,1,3,5,2,4
freetype2-2017-IDX50,2,5,4,3,1,6
freetype2-2017-IDX51,3,2,4,5,1,6
freetype2-2017-IDX52,5,4,6,2,1,3
freetype2-2017-IDX53,5,1,3,4,2,6
freetype2-2017-IDX54,4,5,3,1,2,6
freetype2-2017-IDX55,5,6,3,4,1,2
freetype2-2017-IDX56,1,4,3,6,2,5
freetype2-2017-IDX57,6,4,5,1,2,3
freetype2-2017-IDX58,2,5,6,3,1,4
freetype2-2017-IDX59,2,3,1,4,6,5
freetype2-2017-IDX6,6,1,3,4,2,5
freetype2-2017-IDX60,6,3,2,4,1,5
freetype2-2017-IDX61,3,1,4,6,2,5
freetype2-2017-IDX62,2,4,3,5,1,6
freetype2-2017-IDX63,6,4,3,5,1,2
freetype2-2017-IDX64,6,5,2,4,1,3
freetype2-2017-IDX65,6,4,5,2,1,3
freetype2-2017-IDX66,6,4,5,2,1,3
freetype2-2017-IDX67,6,3,5,2,1,4
freetype2-2017-IDX68,5,4,1,3,2,6
freetype2-2017-IDX69,5,3,1,6,2,4
freetype2-2017-IDX7,4,1,5,2,3,6
freetype2-2017-IDX70,6,4,5,2,1,3
freetype2-2017-IDX71,5,1,3,4,2,6
freetype2-2017-IDX72,4,3,2,5,1,6
freetype2-2017-IDX73,5,6,2,3,1,4
freetype2-2017-IDX74,6,4,5,1,2,3
freetype2-2017-IDX75,5,4,2,3,1,6
freetype2-2017-IDX76,6,4,5,2,1,3
freetype2-2017-IDX77,6,1,3,4,2,5
freetype2-2017-IDX78,2,1,6,3,5,4
freetype2-2017-IDX79,6,1,4,3,2,5
freetype2-2017-IDX8,6,4,1,5,2,3
freetype2-2017-IDX80,3,1,5,4,2,6
freetype2-2017-IDX81,6,3,4,5,1,2
freetype2-2017-IDX82,3,1,2,6,4,5
freetype2-2017-IDX83,4,2,3,5,1,6
freetype2-2017-IDX84,4,2,3,6,1,5
freetype2-2017-IDX85,6,2,5,4,1,3
freetype2-2017-IDX86,5,3,1,6,2,4
freetype2-2017-IDX87,6,4,5,3,1,2
freetype2-2017-IDX88,4,1,3,5,2,6
freetype2-2017-IDX89,6,1,3,4,2,5
freetype2-2017-IDX9,2,3,6,5,1,4
freetype2-2017-IDX90,4,1,2,5,3,6
freetype2-2017-IDX91,4,3,2,6,1,5
freetype2-2017-IDX92,5,1,6,2,3,4
freetype2-2017-IDX93,6,1,3,4,2,5
freetype2-2017-IDX94,6,5,4,2,1,3
freetype2-2017-IDX95,4,3,2,5,1,6
freetype2-2017-IDX96,4,5,6,3,1,2
freetype2-2017-IDX97,5,6,2,3,1,4
freetype2-2017-IDX98,4,5,6,3,1,2
freetype2-2017-IDX99,2,1,6,5,3,4
harfbuzz-1.3.2-IDX0,3,1,2,5,4,6
harfbuzz-1.3.2-IDX1,1,4,2,5,3,6
harfbuzz-1.3.2-IDX10,4,1,6,5,2,3
harfbuzz-1.3.2-IDX11,5,4,1,2,6,3
harfbuzz-1.3.2-IDX12,5,2,3,4,1,6
harfbuzz-1.3.2-IDX13,6,2,4,5,1,3
harfbuzz-1.3.2-IDX14,6,3,2,5,1,4
harfbuzz-1.3.2-IDX15,2,4,1,6,5,3
harfbuzz-1.3.2-IDX16,5,2,1,4,3,6
harfbuzz-1.3.2-IDX17,6,2,3,5,1,4
harfbuzz-1.3.2-IDX18,1,4,3,6,5,2
harfbuzz-1.3.2-IDX19,1,4,6,2,3,5
harfbuzz-1.3.2-IDX2,5,6,3,4,1,2
harfbuzz-1.3.2-IDX20,3,1,6,4,2,5
harfbuzz-1.3.2-IDX21,1,5,3,2,4,6
harfbuzz-1.3.2-IDX22,3,4,1,6,5,2
harfbuzz-1.3.2-IDX23,2,1,3,6,5,4
harfbuzz-1.3.2-IDX24,2,3,1,6,4,5
harfbuzz-1.3.2-IDX25,6,1,3,4,2,5
harfbuzz-1.3.2-IDX26,3,4,1,5,2,6
harfbuzz-1.3.2-IDX27,5,6,4,3,1,2
harfbuzz-1.3.2-IDX28,2,1,6,5,3,4
harfbuzz-1.3.2-IDX29,3,5,1,2,4,6
harfbuzz-1.3.2-IDX3,6,2,3,5,1,4
harfbuzz-1.3.2-IDX30,1,4,5,2,3,6
harfbuzz-1.3.2-IDX31,2,1,5,4,3,6
harfbuzz-1.3.2-IDX32,6,1,3,5,2,4
harfbuzz-1.3.2-IDX33,6,4,2,3,1,5
harfbuzz-1.3.2-IDX34,3,1,4,2,6,5
harfbuzz-1.3.2-IDX36,4,6,5,3,1,2
harfbuzz-1.3.2-IDX37,2,4,1,6,3,5
harfbuzz-1.3.2-IDX38,1,6,4,2,5,3
harfbuzz-1.3.2-IDX39,6,1,5,4,3,2
harfbuzz-1.3.2-IDX4,1,6,2,4,3,5
harfbuzz-1.3.2-IDX40,5,2,6,4,1,3
harfbuzz-1.3.2-IDX41,5,2,4,3,1,6
harfbuzz-1.3.2-IDX42,2,6,3,5,1,4
harfbuzz-1.3.2-IDX43,6,3,2,5,1,4
harfbuzz-1.3.2-IDX44,3,4,1,2,5,6
harfbuzz-1.3.2-IDX45,3,1,4,6,5,2
harfbuzz-1.3.2-IDX46,1,6,2,4,5,3
harfbuzz-1.3.2-IDX47,5,1,3,6,2,4
harfbuzz-1.3.2-IDX48,2,4,6,3,5,1
harfbuzz-1.3.2-IDX49,3,4,1,6,2,5
harfbuzz-1.3.2-IDX5,2,6,4,5,3,1
harfbuzz-1.3.2-IDX50,6,1,3,5,4,2
harfbuzz-1.3.2-IDX51,4,2,3,6,1,5
harfbuzz-1.3.2-IDX52,1,6,3,2,5,4
harfbuzz-1.3.2-IDX53,3,2,1,4,6,5
harfbuzz-1.3.2-IDX54,1,6,5,2,4,3
harfbuzz-1.3.2-IDX55,6,1,4,5,2,3
harfbuzz-1.3.2-IDX56,5,1,6,4,2,3
harfbuzz-1.3.2-IDX57,4,2,3,6,1,5
harfbuzz-1.3.2-IDX58,2,1,6,5,3,4
harfbuzz-1.3.2-IDX59,4,1,5,2,3,6
harfbuzz-1.3.2-IDX6,2,4,1,5,3,6
harfbuzz-1.3.2-IDX60,4,1,2,5,3,6
harfbuzz-1.3.2-IDX61,3,2,4,6,1,5
harfbuzz-1.3.2-IDX62,5,1,3,6,2,4
harfbuzz-1.3.2-IDX63,1,5,2,4,3,6
harfbuzz-1.3.2-IDX64,1,2,3,6,4,5
harfbuzz-1.3.2-IDX65,5,6,1,3,2,4
harfbuzz-1.3.2-IDX66,2,5,1,4,3,6
harfbuzz-1.3.2-IDX67,4,3,2,5,1,6
harfbuzz-1.3.2-IDX68,6,3,1,4,5,2
harfbuzz-1.3.2-IDX69,2,4,1,6,3,5
harfbuzz-1.3.2-IDX7,4,6,5,3,1,2
harfbuzz-1.3.2-IDX70,6,3,5,4,1,2
harfbuzz-1.3.2-IDX71,6,1,3,4,2,5
harfbuzz-1.3.2-IDX72,2,6,5,4,1,3
harfbuzz-1.3.2-IDX73,6,1,4,2,5,3
harfbuzz-1.3.2-IDX74,2,5,1,6,4,3
harfbuzz-1.3.2-IDX75,1,2,3,4,6,5
harfbuzz-1.3.2-IDX76,3,2,4,5,1,6
harfbuzz-1.3.2-IDX77,6,1,5,3,2,4
harfbuzz-1.3.2-IDX78,4,2,3,5,1,6
harfbuzz-1.3.2-IDX8,1,4,5,3,2,6
harfbuzz-1.3.2-IDX80,6,2,3,5,1,4
harfbuzz-1.3.2-IDX81,4,1,3,5,2,6
harfbuzz-1.3.2-IDX83,5,2,1,6,4,3
harfbuzz-1.3.2-IDX84,6,2,3,5,1,4
harfbuzz-1.3.2-IDX85,4,2,3,6,1,5
harfbuzz-1.3.2-IDX86,3,2,4,5,1,6
harfbuzz-1.3.2-IDX87,2,3,1,6,4,5
harfbuzz-1.3.2-IDX88,6,5,3,1,2,4
harfbuzz-1.3.2-IDX89,3,2,1,4,6,5
harfbuzz-1.3.2-IDX9,2,4,3,6,1,5
harfbuzz-1.3.2-IDX90,4,5,2,6,3,1
harfbuzz-1.3.2-IDX91,1,4,6,5,2,3
harfbuzz-1.3.2-IDX92,2,6,4,1,3,5
harfbuzz-1.3.2-IDX93,4,2,3,6,1,5
harfbuzz-1.3.2-IDX94,2,4,6,3,1,5
harfbuzz-1.3.2-IDX95,1,2,3,6,4,5
harfbuzz-1.3.2-IDX96,2,1,3,4,5,6
harfbuzz-1.3.2-IDX97,6,1,3,5,2,4
harfbuzz-1.3.2-IDX98,2,6,5,4,1,3
harfbuzz-1.3.2-IDX99,1,5,2,3,6,4
jsoncpp_jsoncpp_fuzzer-IDX0,4,3,5,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX1,3,6,5,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX10,2,4,2,1,3,1
jsoncpp_jsoncpp_fuzzer-IDX11,6,3,4,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX12,3,3,2,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX13,5,3,4,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX14,5,4,2,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX15,3,4,5,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX16,6,3,5,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX17,4,3,6,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX19,2,5,4,1,3,3
jsoncpp_jsoncpp_fuzzer-IDX2,5,3,4,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX20,4,6,5,1,2,3
jsoncpp_jsoncpp_fuzzer-IDX21,1,5,3,4,2,1
jsoncpp_jsoncpp_fuzzer-IDX22,3,4,5,2,6,1
jsoncpp_jsoncpp_fuzzer-IDX24,2,2,3,1,4,3
jsoncpp_jsoncpp_fuzzer-IDX25,4,3,6,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX26,5,6,3,2,1,4
jsoncpp_jsoncpp_fuzzer-IDX27,2,4,5,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX28,4,3,5,2,6,1
jsoncpp_jsoncpp_fuzzer-IDX29,2,5,3,1,2,4
jsoncpp_jsoncpp_fuzzer-IDX3,2,5,4,1,1,3
jsoncpp_jsoncpp_fuzzer-IDX30,3,6,5,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX31,6,3,5,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX32,4,5,2,1,3,1
jsoncpp_jsoncpp_fuzzer-IDX33,3,5,3,4,1,2
jsoncpp_jsoncpp_fuzzer-IDX34,2,2,2,1,4,3
jsoncpp_jsoncpp_fuzzer-IDX35,5,2,5,3,4,1
jsoncpp_jsoncpp_fuzzer-IDX36,3,4,6,2,1,5
jsoncpp_jsoncpp_fuzzer-IDX37,3,5,4,1,2,3
jsoncpp_jsoncpp_fuzzer-IDX38,4,5,4,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX39,1,6,4,2,3,5
jsoncpp_jsoncpp_fuzzer-IDX4,6,5,4,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX40,1,6,3,4,2,5
jsoncpp_jsoncpp_fuzzer-IDX41,2,4,2,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX42,3,4,6,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX43,4,2,5,1,5,3
jsoncpp_jsoncpp_fuzzer-IDX44,3,5,4,4,2,1
jsoncpp_jsoncpp_fuzzer-IDX45,2,4,3,6,5,1
jsoncpp_jsoncpp_fuzzer-IDX46,5,2,6,4,3,1
jsoncpp_jsoncpp_fuzzer-IDX47,3,6,5,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX48,4,6,5,2,1,3
jsoncpp_jsoncpp_fuzzer-IDX49,2,3,5,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX5,2,1,2,3,4,1
jsoncpp_jsoncpp_fuzzer-IDX50,5,3,6,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX51,3,5,2,1,4,1
jsoncpp_jsoncpp_fuzzer-IDX52,4,3,5,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX53,4,5,4,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX54,6,3,4,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX55,1,6,3,4,2,5
jsoncpp_jsoncpp_fuzzer-IDX56,2,2,4,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX57,3,4,2,1,2,1
jsoncpp_jsoncpp_fuzzer-IDX58,2,1,3,3,4,2
jsoncpp_jsoncpp_fuzzer-IDX59,6,5,4,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX6,3,2,5,1,4,1
jsoncpp_jsoncpp_fuzzer-IDX60,4,3,2,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX61,2,4,2,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX62,6,3,5,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX64,3,6,4,2,1,5
jsoncpp_jsoncpp_fuzzer-IDX65,4,6,2,3,5,1
jsoncpp_jsoncpp_fuzzer-IDX66,5,6,2,1,3,4
jsoncpp_jsoncpp_fuzzer-IDX67,3,3,5,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX68,3,5,6,1,2,4
jsoncpp_jsoncpp_fuzzer-IDX69,6,5,4,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX70,6,3,4,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX71,6,4,3,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX72,5,4,2,1,3,1
jsoncpp_jsoncpp_fuzzer-IDX73,2,5,2,3,1,4
jsoncpp_jsoncpp_fuzzer-IDX74,3,3,4,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX75,4,6,3,1,2,5
jsoncpp_jsoncpp_fuzzer-IDX76,3,3,3,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX77,4,6,5,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX78,5,2,3,3,4,1
jsoncpp_jsoncpp_fuzzer-IDX79,2,4,3,1,2,5
jsoncpp_jsoncpp_fuzzer-IDX8,6,3,4,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX80,2,5,4,1,3,1
