,fuzzer,coverage,time,rank,micro_benchmark
57,libfuzzer,184,180,2,freetype2-2017-IDX81
58,libfuzzer,226,540,1,freetype2-2017-IDX94
59,aflplusplus,187,780,2,freetype2-2017-IDX94
60,libfuzzer,88,360,1,bloaty_fuzz_target-IDX77
61,aflplusplus,42,360,2,bloaty_fuzz_target-IDX77
62,aflplusplus,405,60,1,bloaty_fuzz_target-IDX29
63,libfuzzer,262,720,2,bloaty_fuzz_target-IDX29
64,aflplusplus,151,120,1,freetype2-2017-IDX12
65,libfuzzer,151,240,2,freetype2-2017-IDX12
66,aflplusplus,169,900,1,bloaty_fuzz_target-IDX64
67,libfuzzer,114,60,2,bloaty_fuzz_target-IDX64
68,aflplusplus,461,720,1,freetype2-2017-IDX14
69,libfuzzer,202,300,2,freetype2-2017-IDX14
70,aflplusplus,369,660,1,freetype2-2017-IDX37
71,libfuzzer,163,480,2,freetype2-2017-IDX37
72,libfuzzer,35,60,1,freetype2-2017-IDX75
73,aflplusplus,35,60,1,freetype2-2017-IDX75
74,aflplusplus,205,900,1,freetype2-2017-IDX49
75,libfuzzer,178,720,2,freetype2-2017-IDX49
76,libfuzzer,48,120,1,bloaty_fuzz_target-IDX8
77,aflplusplus,42,240,2,bloaty_fuzz_target-IDX8
78,aflplusplus,291,660,1,freetype2-2017-IDX56
79,libfuzzer,217,60,2,freetype2-2017-IDX56
80,libfuzzer,62,60,1,freetype2-2017-IDX69
81,aflplusplus,62,120,2,freetype2-2017-IDX69
82,libfuzzer,366,300,1,bloaty_fuzz_target-IDX10
83,aflplusplus,306,900,2,bloaty_fuzz_target-IDX10
84,libfuzzer,22,540,1,bloaty_fuzz_target-IDX23
85,aflplusplus,8,60,2,bloaty_fuzz_target-IDX23
86,libfuzzer,130,840,1,bloaty_fuzz_target-IDX39
87,aflplusplus,120,480,2,bloaty_fuzz_target-IDX39
88,libfuzzer,31,300,1,bloaty_fuzz_target-IDX70
89,aflplusplus,28,600,2,bloaty_fuzz_target-IDX70
90,libfuzzer,32,540,1,bloaty_fuzz_target-IDX60
91,aflplusplus,16,240,2,bloaty_fuzz_target-IDX60
92,libfuzzer,106,720,1,bloaty_fuzz_target-IDX74
93,aflplusplus,87,60,2,bloaty_fuzz_target-IDX74
94,libfuzzer,175,540,1,freetype2-2017-IDX10
95,aflplusplus,124,900,2,freetype2-2017-IDX10
96,aflplusplus,501,900,1,freetype2-2017-IDX16
97,libfuzzer,328,840,2,freetype2-2017-IDX16
98,aflplusplus,13,60,1,bloaty_fuzz_target-IDX83
99,libfuzzer,13,60,1,bloaty_fuzz_target-IDX83
100,aflplusplus,147,360,1,freetype2-2017-IDX41
101,libfuzzer,92,720,2,freetype2-2017-IDX41
102,libfuzzer,494,780,1,freetype2-2017-IDX38
103,aflplusplus,434,780,2,freetype2-2017-IDX38
104,aflplusplus,261,840,1,freetype2-2017-IDX99
105,libfuzzer,167,720,2,freetype2-2017-IDX99
106,libfuzzer,96,660,1,bloaty_fuzz_target-IDX51
107,aflplusplus,79,840,2,bloaty_fuzz_target-IDX51
108,libfuzzer,421,900,1,bloaty_fuzz_target-IDX80
109,aflplusplus,376,540,2,bloaty_fuzz_target-IDX80
110,libfuzzer,294,900,1,bloaty_fuzz_target-IDX30
111,aflplusplus,275,60,2,bloaty_fuzz_target-IDX30
112,libfuzzer,236,540,1,bloaty_fuzz_target-IDX25
113,aflplusplus,157,780,2,bloaty_fuzz_target-IDX25
114,libfuzzer,29,240,1,bloaty_fuzz_target-IDX35
115,aflplusplus,11,60,2,bloaty_fuzz_target-IDX35
116,libfuzzer,238,240,1,freetype2-2017-IDX52
117,aflplusplus,205,180,2,freetype2-2017-IDX52
118,libfuzzer,10,60,1,bloaty_fuzz_target-IDX65
119,aflplusplus,10,60,1,bloaty_fuzz_target-IDX65
120,aflplusplus,508,900,1,freetype2-2017-IDX77
121,libfuzzer,506,240,2,freetype2-2017-IDX77
122,aflplusplus,470,600,1,freetype2-2017-IDX87
123,libfuzzer,35,60,2,freetype2-2017-IDX87
124,aflplusplus,342,840,1,freetype2-2017-IDX85
125,libfuzzer,209,780,2,freetype2-2017-IDX85
126,aflplusplus,376,900,1,freetype2-2017-IDX88
127,libfuzzer,285,780,2,freetype2-2017-IDX88
128,aflplusplus,47,60,1,bloaty_fuzz_target-IDX1
129,libfuzzer,46,60,2,bloaty_fuzz_target-IDX1
130,libfuzzer,33,600,1,bloaty_fuzz_target-IDX9
131,aflplusplus,11,240,2,bloaty_fuzz_target-IDX9
132,aflplusplus,212,540,1,freetype2-2017-IDX11
133,libfuzzer,192,180,2,freetype2-2017-IDX11
134,libfuzzer,121,240,1,bloaty_fuzz_target-IDX50
135,aflplusplus,13,60,2,bloaty_fuzz_target-IDX50
136,aflplusplus,279,900,1,freetype2-2017-IDX35
137,libfuzzer,238,60,2,freetype2-2017-IDX35
138,aflplusplus,14,60,1,bloaty_fuzz_target-IDX81
139,libfuzzer,14,60,1,bloaty_fuzz_target-IDX81
140,aflplusplus,489,780,1,freetype2-2017-IDX65
141,libfuzzer,274,660,2,freetype2-2017-IDX65
142,aflplusplus,850,900,1,freetype2-2017-IDX8
143,libfuzzer,257,660,2,freetype2-2017-IDX8
144,aflplusplus,40,60,1,bloaty_fuzz_target-IDX4
145,libfuzzer,40,720,2,bloaty_fuzz_target-IDX4
146,aflplusplus,73,600,1,freetype2-2017-IDX13
147,libfuzzer,66,60,2,freetype2-2017-IDX13
148,aflplusplus,275,480,1,freetype2-2017-IDX19
149,libfuzzer,194,120,2,freetype2-2017-IDX19
150,aflplusplus,10,60,1,bloaty_fuzz_target-IDX12
151,libfuzzer,10,120,2,bloaty_fuzz_target-IDX12
152,aflplusplus,72,180,1,bloaty_fuzz_target-IDX15
153,libfuzzer,67,120,2,bloaty_fuzz_target-IDX15
154,libfuzzer,143,660,1,bloaty_fuzz_target-IDX86
155,aflplusplus,83,840,2,bloaty_fuzz_target-IDX86
156,libfuzzer,37,60,1,bloaty_fuzz_target-IDX6
157,aflplusplus,3,60,2,bloaty_fuzz_target-IDX6
158,aflplusplus,37,480,1,bloaty_fuzz_target-IDX82
159,libfuzzer,34,60,2,bloaty_fuzz_target-IDX82
160,libfuzzer,370,540,1,bloaty_fuzz_target-IDX88
161,aflplusplus,300,780,2,bloaty_fuzz_target-IDX88
162,libfuzzer,128,420,1,bloaty_fuzz_target-IDX13
163,aflplusplus,86,480,2,bloaty_fuzz_target-IDX13
164,libfuzzer,18,60,1,freetype2-2017-IDX0
165,aflplusplus,18,60,1,freetype2-2017-IDX0
166,libfuzzer,29,780,1,bloaty_fuzz_target-IDX57
167,aflplusplus,2,60,2,bloaty_fuzz_target-IDX57
168,libfuzzer,155,120,1,freetype2-2017-IDX74
169,aflplusplus,136,240,2,freetype2-2017-IDX74
170,aflplusplus,261,840,1,freetype2-2017-IDX39
171,libfuzzer,181,180,2,freetype2-2017-IDX39
172,aflplusplus,154,600,1,freetype2-2017-IDX91
173,libfuzzer,83,840,2,freetype2-2017-IDX91
174,libfuzzer,209,180,1,freetype2-2017-IDX53
175,aflplusplus,181,840,2,freetype2-2017-IDX53
176,libfuzzer,133,900,1,bloaty_fuzz_target-IDX20
177,aflplusplus,80,60,2,bloaty_fuzz_target-IDX20
178,libfuzzer,36,60,1,bloaty_fuzz_target-IDX46
179,aflplusplus,36,480,2,bloaty_fuzz_target-IDX46
180,libfuzzer,238,360,1,bloaty_fuzz_target-IDX55
181,aflplusplus,183,840,2,bloaty_fuzz_target-IDX55
182,libfuzzer,1037,600,1,bloaty_fuzz_target-IDX90
183,aflplusplus,132,480,2,bloaty_fuzz_target-IDX90
184,aflplusplus,3,60,1,bloaty_fuzz_target-IDX56
185,libfuzzer,3,60,1,bloaty_fuzz_target-IDX56
186,libfuzzer,20,60,1,bloaty_fuzz_target-IDX99
187,aflplusplus,14,60,2,bloaty_fuzz_target-IDX99
188,aflplusplus,12,60,1,freetype2-2017-IDX95
189,libfuzzer,12,420,2,freetype2-2017-IDX95
190,aflplusplus,435,480,1,freetype2-2017-IDX51
191,libfuzzer,429,900,2,freetype2-2017-IDX51
192,libfuzzer,179,720,1,freetype2-2017-IDX58
193,aflplusplus,176,120,2,freetype2-2017-IDX58
194,aflplusplus,292,600,1,freetype2-2017-IDX60
195,libfuzzer,247,840,2,freetype2-2017-IDX60
196,aflplusplus,257,60,1,bloaty_fuzz_target-IDX7
197,libfuzzer,62,420,2,bloaty_fuzz_target-IDX7
198,libfuzzer,58,600,1,bloaty_fuzz_target-IDX44
199,aflplusplus,6,60,2,bloaty_fuzz_target-IDX44
200,libfuzzer,176,300,1,bloaty_fuzz_target-IDX36
201,aflplusplus,147,60,2,bloaty_fuzz_target-IDX36
202,libfuzzer,37,180,1,bloaty_fuzz_target-IDX69
203,aflplusplus,16,60,2,bloaty_fuzz_target-IDX69
204,libfuzzer,13,60,1,bloaty_fuzz_target-IDX40
205,aflplusplus,13,60,1,bloaty_fuzz_target-IDX40
206,libfuzzer,38,540,1,bloaty_fuzz_target-IDX78
207,aflplusplus,27,60,2,bloaty_fuzz_target-IDX78
208,aflplusplus,319,900,1,freetype2-2017-IDX33
209,libfuzzer,102,120,2,freetype2-2017-IDX33
210,libfuzzer,20,900,1,bloaty_fuzz_target-IDX91
211,aflplusplus,8,240,2,bloaty_fuzz_target-IDX91
212,aflplusplus,75,600,1,freetype2-2017-IDX3
213,libfuzzer,64,840,2,freetype2-2017-IDX3
214,aflplusplus,867,780,1,freetype2-2017-IDX63
215,libfuzzer,206,480,2,freetype2-2017-IDX63
216,libfuzzer,112,840,1,freetype2-2017-IDX26
217,aflplusplus,104,900,2,freetype2-2017-IDX26
218,aflplusplus,130,900,1,freetype2-2017-IDX84
219,libfuzzer,121,60,2,freetype2-2017-IDX84
220,libfuzzer,73,180,1,bloaty_fuzz_target-IDX26
221,aflplusplus,71,360,2,bloaty_fuzz_target-IDX26
222,aflplusplus,367,60,1,bloaty_fuzz_target-IDX76
223,libfuzzer,305,540,2,bloaty_fuzz_target-IDX76
224,libfuzzer,27,60,1,bloaty_fuzz_target-IDX31
225,aflplusplus,17,60,2,bloaty_fuzz_target-IDX31
226,libfuzzer,905,900,1,bloaty_fuzz_target-IDX37
227,aflplusplus,97,60,2,bloaty_fuzz_target-IDX37
228,aflplusplus,232,60,1,bloaty_fuzz_target-IDX38
229,libfuzzer,104,240,2,bloaty_fuzz_target-IDX38
230,libfuzzer,32,120,1,bloaty_fuzz_target-IDX92
231,aflplusplus,32,240,2,bloaty_fuzz_target-IDX92
232,aflplusplus,246,120,1,freetype2-2017-IDX36
233,libfuzzer,246,240,2,freetype2-2017-IDX36
234,aflplusplus,170,600,1,freetype2-2017-IDX7
235,libfuzzer,169,660,2,freetype2-2017-IDX7
236,aflplusplus,54,120,1,freetype2-2017-IDX67
237,libfuzzer,52,60,2,freetype2-2017-IDX67
238,libfuzzer,395,540,1,bloaty_fuzz_target-IDX67
239,aflplusplus,382,840,2,bloaty_fuzz_target-IDX67
240,libfuzzer,25,540,1,bloaty_fuzz_target-IDX73
241,aflplusplus,24,900,2,bloaty_fuzz_target-IDX73
242,libfuzzer,257,840,1,freetype2-2017-IDX44
243,aflplusplus,188,600,2,freetype2-2017-IDX44
244,aflplusplus,117,120,1,freetype2-2017-IDX50
245,libfuzzer,116,660,2,freetype2-2017-IDX50
246,libfuzzer,159,420,1,freetype2-2017-IDX73
247,aflplusplus,135,240,2,freetype2-2017-IDX73
248,libfuzzer,258,600,1,bloaty_fuzz_target-IDX54
249,aflplusplus,177,660,2,bloaty_fuzz_target-IDX54
250,aflplusplus,159,900,1,bloaty_fuzz_target-IDX0
251,libfuzzer,25,420,2,bloaty_fuzz_target-IDX0
252,libfuzzer,141,900,1,bloaty_fuzz_target-IDX27
253,aflplusplus,96,60,2,bloaty_fuzz_target-IDX27
254,libfuzzer,32,840,1,bloaty_fuzz_target-IDX22
255,aflplusplus,27,240,2,bloaty_fuzz_target-IDX22
256,aflplusplus,15,60,1,bloaty_fuzz_target-IDX48
257,libfuzzer,15,180,2,bloaty_fuzz_target-IDX48
258,aflplusplus,1,60,1,bloaty_fuzz_target-IDX62
259,libfuzzer,1,60,1,bloaty_fuzz_target-IDX62
260,libfuzzer,153,660,1,bloaty_fuzz_target-IDX53
261,aflplusplus,131,900,2,bloaty_fuzz_target-IDX53
262,aflplusplus,12,840,1,bloaty_fuzz_target-IDX87
263,libfuzzer,9,120,2,bloaty_fuzz_target-IDX87
264,aflplusplus,13,60,1,freetype2-2017-IDX20
265,libfuzzer,13,60,1,freetype2-2017-IDX20
266,aflplusplus,60,60,1,freetype2-2017-IDX43
267,libfuzzer,60,60,1,freetype2-2017-IDX43
268,aflplusplus,261,900,1,freetype2-2017-IDX68
269,libfuzzer,230,300,2,freetype2-2017-IDX68
270,libfuzzer,144,600,1,freetype2-2017-IDX70
271,aflplusplus,135,540,2,freetype2-2017-IDX70
272,aflplusplus,47,60,1,freetype2-2017-IDX57
273,libfuzzer,47,60,1,freetype2-2017-IDX57
274,aflplusplus,706,180,1,freetype2-2017-IDX86
275,libfuzzer,462,720,2,freetype2-2017-IDX86
276,libfuzzer,156,660,1,freetype2-2017-IDX93
277,aflplusplus,153,360,2,freetype2-2017-IDX93
278,libfuzzer,165,840,1,bloaty_fuzz_target-IDX47
279,aflplusplus,123,60,2,bloaty_fuzz_target-IDX47
280,libfuzzer,37,840,1,bloaty_fuzz_target-IDX85
281,aflplusplus,14,60,2,bloaty_fuzz_target-IDX85
282,libfuzzer,123,540,1,bloaty_fuzz_target-IDX58
283,aflplusplus,65,60,2,bloaty_fuzz_target-IDX58
284,libfuzzer,190,420,1,freetype2-2017-IDX9
285,aflplusplus,101,240,2,freetype2-2017-IDX9
286,aflplusplus,331,420,1,freetype2-2017-IDX89
287,libfuzzer,94,180,2,freetype2-2017-IDX89
288,libfuzzer,334,540,1,bloaty_fuzz_target-IDX3
289,aflplusplus,293,60,2,bloaty_fuzz_target-IDX3
290,libfuzzer,170,600,1,bloaty_fuzz_target-IDX16
291,aflplusplus,122,60,2,bloaty_fuzz_target-IDX16
292,libfuzzer,87,360,1,bloaty_fuzz_target-IDX33
293,aflplusplus,85,120,2,bloaty_fuzz_target-IDX33
294,aflplusplus,228,60,1,bloaty_fuzz_target-IDX68
295,libfuzzer,224,360,2,bloaty_fuzz_target-IDX68
296,libfuzzer,222,660,1,bloaty_fuzz_target-IDX59
297,aflplusplus,131,900,2,bloaty_fuzz_target-IDX59
298,aflplusplus,259,720,1,freetype2-2017-IDX21
299,libfuzzer,251,840,2,freetype2-2017-IDX21
300,aflplusplus,148,780,1,freetype2-2017-IDX22
301,libfuzzer,44,600,2,freetype2-2017-IDX22
302,aflplusplus,19,240,1,freetype2-2017-IDX64
303,libfuzzer,4,600,2,freetype2-2017-IDX64
304,aflplusplus,137,540,1,freetype2-2017-IDX83
305,libfuzzer,112,420,2,freetype2-2017-IDX83
306,libfuzzer,212,660,1,freetype2-2017-IDX76
307,aflplusplus,207,900,2,freetype2-2017-IDX76
308,aflplusplus,164,180,1,bloaty_fuzz_target-IDX2
309,libfuzzer,164,420,2,bloaty_fuzz_target-IDX2
310,libfuzzer,2,60,1,bloaty_fuzz_target-IDX11
311,aflplusplus,2,60,1,bloaty_fuzz_target-IDX11
312,libfuzzer,294,300,1,bloaty_fuzz_target-IDX61
313,aflplusplus,203,660,2,bloaty_fuzz_target-IDX61
314,libfuzzer,336,900,1,bloaty_fuzz_target-IDX32
315,aflplusplus,200,60,2,bloaty_fuzz_target-IDX32
316,aflplusplus,176,840,1,freetype2-2017-IDX15
317,libfuzzer,148,480,2,freetype2-2017-IDX15
318,libfuzzer,49,180,1,bloaty_fuzz_target-IDX96
319,aflplusplus,5,60,2,bloaty_fuzz_target-IDX96
320,libfuzzer,7,60,1,freetype2-2017-IDX6
321,aflplusplus,7,60,1,freetype2-2017-IDX6
322,aflplusplus,3,60,1,bloaty_fuzz_target-IDX79
323,libfuzzer,3,60,1,bloaty_fuzz_target-IDX79
324,aflplusplus,683,720,1,freetype2-2017-IDX31
325,libfuzzer,567,720,2,freetype2-2017-IDX31
326,aflplusplus,355,900,1,freetype2-2017-IDX61
327,libfuzzer,145,180,2,freetype2-2017-IDX61
328,libfuzzer,104,660,1,bloaty_fuzz_target-IDX42
329,aflplusplus,86,60,2,bloaty_fuzz_target-IDX42
330,libfuzzer,156,720,1,freetype2-2017-IDX80
331,aflplusplus,152,840,2,freetype2-2017-IDX80
332,libfuzzer,71,300,1,bloaty_fuzz_target-IDX19
333,aflplusplus,56,60,2,bloaty_fuzz_target-IDX19
334,aflplusplus,416,900,1,freetype2-2017-IDX48
335,libfuzzer,153,660,2,freetype2-2017-IDX48
336,aflplusplus,241,720,1,freetype2-2017-IDX54
337,libfuzzer,237,840,2,freetype2-2017-IDX54
338,libfuzzer,91,240,1,freetype2-2017-IDX30
339,aflplusplus,32,60,2,freetype2-2017-IDX30
340,libfuzzer,103,60,1,freetype2-2017-IDX79
341,aflplusplus,103,120,2,freetype2-2017-IDX79
342,libfuzzer,453,480,1,freetype2-2017-IDX40
343,aflplusplus,449,720,2,freetype2-2017-IDX40
344,aflplusplus,428,840,1,freetype2-2017-IDX42
345,libfuzzer,354,360,2,freetype2-2017-IDX42
346,libfuzzer,391,900,1,bloaty_fuzz_target-IDX71
347,aflplusplus,277,60,2,bloaty_fuzz_target-IDX71
348,libfuzzer,194,900,1,bloaty_fuzz_target-IDX28
349,aflplusplus,175,720,2,bloaty_fuzz_target-IDX28
350,libfuzzer,78,840,1,bloaty_fuzz_target-IDX45
351,aflplusplus,57,120,2,bloaty_fuzz_target-IDX45
352,libfuzzer,109,840,1,freetype2-2017-IDX66
353,aflplusplus,101,600,2,freetype2-2017-IDX66
354,aflplusplus,194,660,1,freetype2-2017-IDX5
355,libfuzzer,10,480,2,freetype2-2017-IDX5
356,aflplusplus,170,360,1,bloaty_fuzz_target-IDX93
357,libfuzzer,31,480,2,bloaty_fuzz_target-IDX93
358,libfuzzer,181,180,1,bloaty_fuzz_target-IDX94
359,aflplusplus,111,840,2,bloaty_fuzz_target-IDX94
360,aflplusplus,1029,900,1,freetype2-2017-IDX24
361,libfuzzer,335,720,2,freetype2-2017-IDX24
362,libfuzzer,34,420,1,bloaty_fuzz_target-IDX41
363,aflplusplus,33,540,2,bloaty_fuzz_target-IDX41
364,aflplusplus,275,900,1,freetype2-2017-IDX27
365,libfuzzer,124,420,2,freetype2-2017-IDX27
366,aflplusplus,66,120,1,freetype2-2017-IDX32
367,libfuzzer,46,120,2,freetype2-2017-IDX32
368,libfuzzer,331,240,1,bloaty_fuzz_target-IDX63
369,aflplusplus,305,240,2,bloaty_fuzz_target-IDX63
370,aflplusplus,148,720,1,freetype2-2017-IDX92
371,libfuzzer,125,660,2,freetype2-2017-IDX92
372,aflplusplus,186,60,1,bloaty_fuzz_target-IDX89
373,libfuzzer,38,180,2,bloaty_fuzz_target-IDX89
374,libfuzzer,272,900,1,freetype2-2017-IDX47
375,aflplusplus,268,480,2,freetype2-2017-IDX47
376,aflplusplus,28,60,1,bloaty_fuzz_target-IDX98
377,libfuzzer,1,60,2,bloaty_fuzz_target-IDX98
378,aflplusplus,365,60,1,bloaty_fuzz_target-IDX17
379,libfuzzer,238,840,2,bloaty_fuzz_target-IDX17
380,libfuzzer,86,840,1,bloaty_fuzz_target-IDX49
381,aflplusplus,32,240,2,bloaty_fuzz_target-IDX49
382,libfuzzer,216,360,1,freetype2-2017-IDX46
383,aflplusplus,200,660,2,freetype2-2017-IDX46
384,libfuzzer,133,420,1,freetype2-2017-IDX28
385,aflplusplus,109,120,2,freetype2-2017-IDX28
386,libfuzzer,54,60,1,bloaty_fuzz_target-IDX75
387,aflplusplus,44,900,2,bloaty_fuzz_target-IDX75
388,aflplusplus,260,780,1,freetype2-2017-IDX2
389,libfuzzer,127,240,2,freetype2-2017-IDX2
390,aflplusplus,83,780,1,freetype2-2017-IDX90
391,libfuzzer,81,600,2,freetype2-2017-IDX90
392,aflplusplus,386,780,1,freetype2-2017-IDX29
393,libfuzzer,154,120,2,freetype2-2017-IDX29
394,aflplusplus,642,900,1,freetype2-2017-IDX45
395,libfuzzer,321,420,2,freetype2-2017-IDX45
396,libfuzzer,286,480,1,bloaty_fuzz_target-IDX18
397,aflplusplus,129,900,2,bloaty_fuzz_target-IDX18
398,aflplusplus,264,720,1,freetype2-2017-IDX72
399,libfuzzer,197,540,2,freetype2-2017-IDX72
