,fuzzer,covered_targets,time,target,covered_edges,trial_id,rank,micro_benchmark
120,entropic,148,840,1297,1593,6021,1,bloaty_fuzz_target-IDX20
121,aflplusplus,102,480,1297,1341,2021,2,bloaty_fuzz_target-IDX20
122,libfuzzer,89,60,1297,1299,7921,3,bloaty_fuzz_target-IDX20
123,honggfuzz,72,240,1297,1360,21,4,bloaty_fuzz_target-IDX20
124,eclipser,72,600,1297,1408,9921,5,bloaty_fuzz_target-IDX20
125,afl,35,240,1297,1096,4021,6,bloaty_fuzz_target-IDX20
126,honggfuzz,303,840,1266,1874,22,1,bloaty_fuzz_target-IDX21
127,libfuzzer,264,840,1266,2044,7922,2,bloaty_fuzz_target-IDX21
128,eclipser,259,780,1266,1720,9922,3,bloaty_fuzz_target-IDX21
129,entropic,224,840,1266,1975,6022,4,bloaty_fuzz_target-IDX21
130,afl,203,720,1266,1592,4022,5,bloaty_fuzz_target-IDX21
131,aflplusplus,141,720,1266,1410,2022,6,bloaty_fuzz_target-IDX21
132,honggfuzz,518,840,608,4842,23,1,bloaty_fuzz_target-IDX22
133,entropic,442,900,608,4553,6023,2,bloaty_fuzz_target-IDX22
134,libfuzzer,383,660,608,3974,7923,3,bloaty_fuzz_target-IDX22
135,eclipser,383,900,608,4318,9923,4,bloaty_fuzz_target-IDX22
136,afl,372,840,608,4159,4023,5,bloaty_fuzz_target-IDX22
137,aflplusplus,264,60,608,3621,2023,6,bloaty_fuzz_target-IDX22
138,entropic,198,720,349,4344,6024,1,bloaty_fuzz_target-IDX23
139,eclipser,189,480,349,4266,9924,2,bloaty_fuzz_target-IDX23
140,libfuzzer,189,540,349,4158,7924,3,bloaty_fuzz_target-IDX23
141,honggfuzz,180,420,349,4450,24,4,bloaty_fuzz_target-IDX23
142,afl,133,840,349,4219,4024,5,bloaty_fuzz_target-IDX23
143,aflplusplus,108,240,349,3614,2024,6,bloaty_fuzz_target-IDX23
144,aflplusplus,26,120,50,3912,2025,1,bloaty_fuzz_target-IDX24
145,eclipser,26,120,50,3592,9925,2,bloaty_fuzz_target-IDX24
146,afl,26,180,50,3782,4025,3,bloaty_fuzz_target-IDX24
147,entropic,25,300,50,4024,6025,4,bloaty_fuzz_target-IDX24
148,libfuzzer,25,780,50,4243,7925,5,bloaty_fuzz_target-IDX24
149,honggfuzz,24,180,50,3887,25,6,bloaty_fuzz_target-IDX24
150,eclipser,1325,900,1795,3697,9926,1,bloaty_fuzz_target-IDX25
151,afl,1282,360,1795,3860,4026,2,bloaty_fuzz_target-IDX25
152,entropic,476,900,1795,1764,6026,3,bloaty_fuzz_target-IDX25
153,libfuzzer,451,600,1795,1526,7926,4,bloaty_fuzz_target-IDX25
154,honggfuzz,282,540,1795,1286,26,5,bloaty_fuzz_target-IDX25
155,aflplusplus,43,60,1795,932,2026,6,bloaty_fuzz_target-IDX25
156,afl,263,900,300,4389,4027,1,bloaty_fuzz_target-IDX26
157,eclipser,233,720,300,4357,9927,2,bloaty_fuzz_target-IDX26
158,entropic,187,780,300,4440,6027,3,bloaty_fuzz_target-IDX26
159,honggfuzz,184,480,300,4206,27,4,bloaty_fuzz_target-IDX26
160,libfuzzer,172,720,300,4263,7927,5,bloaty_fuzz_target-IDX26
161,aflplusplus,158,720,300,3858,2027,6,bloaty_fuzz_target-IDX26
162,honggfuzz,52,180,52,4326,28,1,bloaty_fuzz_target-IDX27
163,entropic,52,600,52,4380,6028,2,bloaty_fuzz_target-IDX27
164,eclipser,51,60,52,4125,9928,3,bloaty_fuzz_target-IDX27
165,libfuzzer,51,840,52,4461,7928,4,bloaty_fuzz_target-IDX27
166,afl,50,540,52,4181,4028,5,bloaty_fuzz_target-IDX27
167,aflplusplus,30,60,52,4005,2028,6,bloaty_fuzz_target-IDX27
168,entropic,150,780,1402,1548,6029,1,bloaty_fuzz_target-IDX28
169,eclipser,121,840,1402,1468,9929,2,bloaty_fuzz_target-IDX28
170,libfuzzer,93,60,1402,1443,7929,3,bloaty_fuzz_target-IDX28
171,afl,92,660,1402,1304,4029,4,bloaty_fuzz_target-IDX28
172,honggfuzz,88,780,1402,1528,29,5,bloaty_fuzz_target-IDX28
173,aflplusplus,74,120,1402,1255,2029,6,bloaty_fuzz_target-IDX28
174,afl,112,600,137,4301,4030,1,bloaty_fuzz_target-IDX29
175,entropic,106,360,137,4254,6030,2,bloaty_fuzz_target-IDX29
176,honggfuzz,103,420,137,4395,30,3,bloaty_fuzz_target-IDX29
177,eclipser,97,720,137,4155,9930,4,bloaty_fuzz_target-IDX29
178,libfuzzer,90,240,137,3918,7930,5,bloaty_fuzz_target-IDX29
179,aflplusplus,88,360,137,3619,2030,6,bloaty_fuzz_target-IDX29
180,afl,361,780,364,4243,4031,1,bloaty_fuzz_target-IDX30
181,eclipser,358,720,364,4331,9931,2,bloaty_fuzz_target-IDX30
182,entropic,355,300,364,1998,6031,3,bloaty_fuzz_target-IDX30
183,honggfuzz,352,540,364,3410,31,4,bloaty_fuzz_target-IDX30
184,aflplusplus,346,180,364,3214,2031,5,bloaty_fuzz_target-IDX30
185,libfuzzer,102,540,364,2951,7931,6,bloaty_fuzz_target-IDX30
186,honggfuzz,251,720,571,4295,32,1,bloaty_fuzz_target-IDX31
187,entropic,241,900,571,4077,6032,2,bloaty_fuzz_target-IDX31
188,afl,211,300,571,3944,4032,3,bloaty_fuzz_target-IDX31
189,aflplusplus,204,60,571,3474,2032,4,bloaty_fuzz_target-IDX31
190,eclipser,200,660,571,3914,9932,5,bloaty_fuzz_target-IDX31
191,libfuzzer,194,720,571,3931,7932,6,bloaty_fuzz_target-IDX31
192,honggfuzz,108,600,1567,1775,33,1,bloaty_fuzz_target-IDX32
193,aflplusplus,99,480,1567,1516,2033,2,bloaty_fuzz_target-IDX32
194,afl,79,900,1567,1551,4033,3,bloaty_fuzz_target-IDX32
195,eclipser,75,720,1567,1832,9933,4,bloaty_fuzz_target-IDX32
196,entropic,72,240,1567,1750,6033,5,bloaty_fuzz_target-IDX32
197,libfuzzer,70,120,1567,1698,7933,6,bloaty_fuzz_target-IDX32
198,afl,1156,900,1201,4051,4034,1,bloaty_fuzz_target-IDX33
199,eclipser,171,660,1201,1763,9934,2,bloaty_fuzz_target-IDX33
200,honggfuzz,166,900,1201,1702,34,3,bloaty_fuzz_target-IDX33
201,aflplusplus,150,840,1201,1522,2034,4,bloaty_fuzz_target-IDX33
202,entropic,115,300,1201,1903,6034,5,bloaty_fuzz_target-IDX33
203,libfuzzer,101,480,1201,1887,7934,6,bloaty_fuzz_target-IDX33
204,honggfuzz,224,780,337,4875,35,1,bloaty_fuzz_target-IDX34
205,entropic,202,720,337,4193,6035,2,bloaty_fuzz_target-IDX34
206,libfuzzer,195,720,337,4269,7935,3,bloaty_fuzz_target-IDX34
207,eclipser,159,600,337,4106,9935,4,bloaty_fuzz_target-IDX34
208,afl,141,840,337,4248,4035,5,bloaty_fuzz_target-IDX34
209,aflplusplus,124,60,337,3691,2035,6,bloaty_fuzz_target-IDX34
210,libfuzzer,33,900,54,4111,7936,1,bloaty_fuzz_target-IDX35
211,afl,30,420,54,4059,4036,2,bloaty_fuzz_target-IDX35
212,entropic,29,480,54,4147,6036,3,bloaty_fuzz_target-IDX35
213,eclipser,28,240,54,3944,9936,4,bloaty_fuzz_target-IDX35
214,honggfuzz,28,600,54,4679,36,5,bloaty_fuzz_target-IDX35
215,aflplusplus,27,60,54,3700,2036,6,bloaty_fuzz_target-IDX35
216,honggfuzz,76,120,76,4572,37,1,bloaty_fuzz_target-IDX36
217,entropic,75,180,76,4349,6037,2,bloaty_fuzz_target-IDX36
218,afl,75,420,76,4581,4037,3,bloaty_fuzz_target-IDX36
219,eclipser,71,360,76,4633,9937,4,bloaty_fuzz_target-IDX36
220,libfuzzer,70,540,76,4482,7937,5,bloaty_fuzz_target-IDX36
221,aflplusplus,65,60,76,4297,2037,6,bloaty_fuzz_target-IDX36
222,afl,491,660,541,4410,4038,1,bloaty_fuzz_target-IDX37
223,eclipser,488,900,541,4451,9938,2,bloaty_fuzz_target-IDX37
224,entropic,477,900,541,4568,6038,3,bloaty_fuzz_target-IDX37
225,aflplusplus,412,60,541,3897,2038,4,bloaty_fuzz_target-IDX37
226,libfuzzer,266,780,541,4091,7938,5,bloaty_fuzz_target-IDX37
227,honggfuzz,248,480,541,4141,38,6,bloaty_fuzz_target-IDX37
228,honggfuzz,210,900,215,4934,39,1,bloaty_fuzz_target-IDX38
229,afl,209,300,215,4078,4039,2,bloaty_fuzz_target-IDX38
230,entropic,199,480,215,3895,6039,3,bloaty_fuzz_target-IDX38
231,eclipser,197,780,215,4318,9939,4,bloaty_fuzz_target-IDX38
232,libfuzzer,196,780,215,4091,7939,5,bloaty_fuzz_target-IDX38
233,aflplusplus,184,60,215,3489,2039,6,bloaty_fuzz_target-IDX38
234,entropic,177,720,187,1989,6040,1,bloaty_fuzz_target-IDX39
235,afl,173,780,187,1619,4040,2,bloaty_fuzz_target-IDX39
236,honggfuzz,173,840,187,1986,40,3,bloaty_fuzz_target-IDX39
237,eclipser,170,900,187,1800,9940,4,bloaty_fuzz_target-IDX39
238,libfuzzer,146,660,187,1878,7940,5,bloaty_fuzz_target-IDX39
239,aflplusplus,117,660,187,1577,2040,6,bloaty_fuzz_target-IDX39
240,honggfuzz,1332,900,1662,4233,41,1,bloaty_fuzz_target-IDX40
241,afl,1294,600,1662,4126,4041,2,bloaty_fuzz_target-IDX40
242,entropic,1293,480,1662,3937,6041,3,bloaty_fuzz_target-IDX40
243,eclipser,1290,720,1662,4101,9941,4,bloaty_fuzz_target-IDX40
244,aflplusplus,1251,60,1662,3292,2041,5,bloaty_fuzz_target-IDX40
245,libfuzzer,330,900,1662,1521,7941,6,bloaty_fuzz_target-IDX40
246,honggfuzz,116,420,140,1725,42,1,bloaty_fuzz_target-IDX41
247,libfuzzer,105,240,140,1727,7942,2,bloaty_fuzz_target-IDX41
248,afl,82,840,140,1624,4042,3,bloaty_fuzz_target-IDX41
249,entropic,77,300,140,1960,6042,4,bloaty_fuzz_target-IDX41
250,eclipser,75,420,140,1880,9942,5,bloaty_fuzz_target-IDX41
251,aflplusplus,62,60,140,1546,2042,6,bloaty_fuzz_target-IDX41
252,entropic,250,900,362,4300,6043,1,bloaty_fuzz_target-IDX42
253,honggfuzz,210,540,362,4773,43,2,bloaty_fuzz_target-IDX42
254,libfuzzer,196,780,362,4161,7943,3,bloaty_fuzz_target-IDX42
255,eclipser,173,840,362,4494,9943,4,bloaty_fuzz_target-IDX42
256,aflplusplus,147,360,362,3818,2043,5,bloaty_fuzz_target-IDX42
257,afl,146,660,362,4313,4043,6,bloaty_fuzz_target-IDX42
258,eclipser,122,840,1489,1425,9944,1,bloaty_fuzz_target-IDX43
259,afl,120,780,1489,1116,4044,2,bloaty_fuzz_target-IDX43
260,libfuzzer,116,120,1489,1465,7944,3,bloaty_fuzz_target-IDX43
261,honggfuzz,116,240,1489,1222,44,4,bloaty_fuzz_target-IDX43
262,aflplusplus,115,900,1489,1368,2044,5,bloaty_fuzz_target-IDX43
263,entropic,54,60,1489,1281,6044,6,bloaty_fuzz_target-IDX43
264,honggfuzz,134,660,1333,1748,45,1,bloaty_fuzz_target-IDX44
265,afl,104,900,1333,1178,4045,2,bloaty_fuzz_target-IDX44
266,libfuzzer,77,720,1333,1495,7945,3,bloaty_fuzz_target-IDX44
267,entropic,52,360,1333,1494,6045,4,bloaty_fuzz_target-IDX44
268,aflplusplus,49,420,1333,1383,2045,5,bloaty_fuzz_target-IDX44
269,eclipser,48,480,1333,1388,9945,6,bloaty_fuzz_target-IDX44
270,entropic,225,600,1429,2060,6046,1,bloaty_fuzz_target-IDX45
271,libfuzzer,197,420,1429,1845,7946,2,bloaty_fuzz_target-IDX45
272,honggfuzz,194,720,1429,1897,46,3,bloaty_fuzz_target-IDX45
273,eclipser,193,840,1429,1949,9946,4,bloaty_fuzz_target-IDX45
274,afl,180,360,1429,1632,4046,5,bloaty_fuzz_target-IDX45
275,aflplusplus,113,60,1429,1476,2046,6,bloaty_fuzz_target-IDX45
276,entropic,552,900,726,4478,6047,1,bloaty_fuzz_target-IDX46
277,afl,530,900,726,4383,4047,2,bloaty_fuzz_target-IDX46
278,eclipser,524,840,726,4552,9947,3,bloaty_fuzz_target-IDX46
279,libfuzzer,493,540,726,4331,7947,4,bloaty_fuzz_target-IDX46
280,honggfuzz,478,540,726,4196,47,5,bloaty_fuzz_target-IDX46
281,aflplusplus,440,60,726,3880,2047,6,bloaty_fuzz_target-IDX46
282,entropic,223,540,1197,1881,6048,1,bloaty_fuzz_target-IDX47
283,honggfuzz,194,900,1197,1862,48,2,bloaty_fuzz_target-IDX47
284,eclipser,183,660,1197,1910,9948,3,bloaty_fuzz_target-IDX47
285,libfuzzer,176,180,1197,1751,7948,4,bloaty_fuzz_target-IDX47
286,afl,166,780,1197,1666,4048,5,bloaty_fuzz_target-IDX47
287,aflplusplus,157,240,1197,1648,2048,6,bloaty_fuzz_target-IDX47
288,entropic,151,720,173,4230,6049,1,bloaty_fuzz_target-IDX48
289,honggfuzz,139,840,173,4831,49,2,bloaty_fuzz_target-IDX48
290,libfuzzer,94,780,173,4226,7949,3,bloaty_fuzz_target-IDX48
291,eclipser,56,900,173,4351,9949,4,bloaty_fuzz_target-IDX48
292,afl,35,180,173,3827,4049,5,bloaty_fuzz_target-IDX48
293,aflplusplus,23,360,173,3694,2049,6,bloaty_fuzz_target-IDX48
294,libfuzzer,286,780,1240,1978,7950,1,bloaty_fuzz_target-IDX49
295,afl,281,900,1240,1707,4050,2,bloaty_fuzz_target-IDX49
296,eclipser,270,900,1240,1820,9950,3,bloaty_fuzz_target-IDX49
297,honggfuzz,253,840,1240,1889,50,4,bloaty_fuzz_target-IDX49
298,entropic,243,720,1240,1999,6050,5,bloaty_fuzz_target-IDX49
299,aflplusplus,161,60,1240,1500,2050,6,bloaty_fuzz_target-IDX49
300,afl,55,120,79,3846,4051,1,bloaty_fuzz_target-IDX50
301,honggfuzz,55,600,79,4534,51,2,bloaty_fuzz_target-IDX50
302,aflplusplus,47,60,79,3703,2051,3,bloaty_fuzz_target-IDX50
303,eclipser,44,120,79,3740,9951,4,bloaty_fuzz_target-IDX50
304,entropic,42,840,79,4360,6051,5,bloaty_fuzz_target-IDX50
305,libfuzzer,39,900,79,4130,7951,6,bloaty_fuzz_target-IDX50
306,entropic,655,540,755,4439,6052,1,bloaty_fuzz_target-IDX51
307,honggfuzz,642,540,755,4287,52,2,bloaty_fuzz_target-IDX51
308,libfuzzer,632,840,755,4297,7952,3,bloaty_fuzz_target-IDX51
309,eclipser,625,900,755,4459,9952,4,bloaty_fuzz_target-IDX51
310,aflplusplus,604,60,755,3908,2052,5,bloaty_fuzz_target-IDX51
311,afl,589,360,755,4119,4052,6,bloaty_fuzz_target-IDX51
312,afl,139,900,1375,1288,4053,1,bloaty_fuzz_target-IDX52
313,libfuzzer,127,660,1375,1518,7953,2,bloaty_fuzz_target-IDX52
314,honggfuzz,120,480,1375,1503,53,3,bloaty_fuzz_target-IDX52
315,eclipser,110,840,1375,1398,9953,4,bloaty_fuzz_target-IDX52
316,aflplusplus,103,840,1375,1219,2053,5,bloaty_fuzz_target-IDX52
317,entropic,82,600,1375,1595,6053,6,bloaty_fuzz_target-IDX52
318,afl,247,660,1839,1440,4054,1,bloaty_fuzz_target-IDX53
319,honggfuzz,246,840,1839,1667,54,2,bloaty_fuzz_target-IDX53
320,libfuzzer,214,420,1839,1623,7954,3,bloaty_fuzz_target-IDX53
321,aflplusplus,197,540,1839,1400,2054,4,bloaty_fuzz_target-IDX53
322,eclipser,192,480,1839,1582,9954,5,bloaty_fuzz_target-IDX53
323,entropic,144,180,1839,1482,6054,6,bloaty_fuzz_target-IDX53
324,honggfuzz,81,240,369,3940,55,1,bloaty_fuzz_target-IDX54
325,afl,36,660,369,3884,4055,2,bloaty_fuzz_target-IDX54
326,eclipser,32,600,369,3992,9955,3,bloaty_fuzz_target-IDX54
327,entropic,31,840,369,3988,6055,4,bloaty_fuzz_target-IDX54
328,libfuzzer,30,480,369,3992,7955,5,bloaty_fuzz_target-IDX54
329,aflplusplus,23,180,369,3585,2055,6,bloaty_fuzz_target-IDX54
330,honggfuzz,153,840,304,1790,56,1,bloaty_fuzz_target-IDX55
331,libfuzzer,127,360,304,1820,7956,2,bloaty_fuzz_target-IDX55
332,entropic,124,480,304,1870,6056,3,bloaty_fuzz_target-IDX55
333,eclipser,111,840,304,1855,9956,4,bloaty_fuzz_target-IDX55
334,afl,107,780,304,1551,4056,5,bloaty_fuzz_target-IDX55
335,aflplusplus,99,60,304,1454,2056,6,bloaty_fuzz_target-IDX55
336,eclipser,236,840,276,1816,9957,1,bloaty_fuzz_target-IDX56
337,honggfuzz,216,900,276,1884,57,2,bloaty_fuzz_target-IDX56
338,afl,213,840,276,1617,4057,3,bloaty_fuzz_target-IDX56
339,entropic,181,480,276,1850,6057,4,bloaty_fuzz_target-IDX56
340,aflplusplus,154,60,276,1404,2057,5,bloaty_fuzz_target-IDX56
341,libfuzzer,97,420,276,1737,7957,6,bloaty_fuzz_target-IDX56
342,honggfuzz,476,900,1826,1430,58,1,bloaty_fuzz_target-IDX57
343,entropic,411,660,1826,1438,6058,2,bloaty_fuzz_target-IDX57
344,libfuzzer,403,660,1826,1452,7958,3,bloaty_fuzz_target-IDX57
345,aflplusplus,387,780,1826,1463,2058,4,bloaty_fuzz_target-IDX57
346,eclipser,244,240,1826,1136,9958,5,bloaty_fuzz_target-IDX57
347,afl,213,60,1826,925,4058,6,bloaty_fuzz_target-IDX57
348,entropic,368,480,1864,1478,6059,1,bloaty_fuzz_target-IDX58
349,honggfuzz,322,660,1864,1284,59,2,bloaty_fuzz_target-IDX58
350,libfuzzer,316,300,1864,1428,7959,3,bloaty_fuzz_target-IDX58
351,eclipser,298,600,1864,1302,9959,4,bloaty_fuzz_target-IDX58
352,aflplusplus,222,780,1864,1341,2059,5,bloaty_fuzz_target-IDX58
353,afl,198,240,1864,1052,4059,6,bloaty_fuzz_target-IDX58
354,afl,1367,900,1534,4259,4060,1,bloaty_fuzz_target-IDX59
355,eclipser,398,840,1534,1846,9960,2,bloaty_fuzz_target-IDX59
356,entropic,325,720,1534,2009,6060,3,bloaty_fuzz_target-IDX59
357,libfuzzer,304,600,1534,1767,7960,4,bloaty_fuzz_target-IDX59
