,fuzzer,covered_targets,time,target,covered_edges,rank,micro_benchmark
83,honggfuzz,64.15056619283324,39900,28484,191008,6,openthread-2019-12-23
84,entropic,80.82109079301753,85320,135042,973678,1,php_php-fuzz-parser
85,honggfuzz,80.6055492266645,84360,135042,977351,2,php_php-fuzz-parser
86,afl,78.47881033100163,85020,135042,968706,3,php_php-fuzz-parser
87,aflplusplus,77.74496315243725,81780,135042,970177,4,php_php-fuzz-parser
88,eclipser,76.49420946221346,84360,135042,936385,5,php_php-fuzz-parser
89,libfuzzer,75.67202444535162,80280,135042,932630,6,php_php-fuzz-parser
90,entropic,94.62237514970998,48780,18419,296123,1,proj4-2017-08-14
91,honggfuzz,93.20715681093081,59160,18419,287689,2,proj4-2017-08-14
92,libfuzzer,93.0545834296264,48120,18419,291092,3,proj4-2017-08-14
93,aflplusplus,87.09177842823328,49560,18419,229857,4,proj4-2017-08-14
94,afl,83.7681298139117,46920,18419,195330,5,proj4-2017-08-14
95,eclipser,83.50351341877595,45420,18419,190982,6,proj4-2017-08-14
96,aflplusplus,99.75686756094451,16260,52164,235390,1,re2-2014-12-09
97,afl,99.74444539040633,19920,52164,232368,2,re2-2014-12-09
98,libfuzzer,99.73486234600794,19440,52164,236377,3,re2-2014-12-09
99,eclipser,99.70591498728729,19140,52164,230235,4,re2-2014-12-09
100,honggfuzz,99.63437491884957,17820,52164,230454,5,re2-2014-12-09
101,entropic,98.69043869180133,27960,52164,229709,6,re2-2014-12-09
102,honggfuzz,78.58223534973573,72060,218204,799111,1,sqlite3_ossfuzz
103,afl,77.2027880699578,69960,218204,810408,2,sqlite3_ossfuzz
104,entropic,77.1763853981164,74220,218204,797758,3,sqlite3_ossfuzz
105,eclipser,76.72108902785469,72480,218204,801636,4,sqlite3_ossfuzz
106,aflplusplus,73.61296580214658,70860,218204,763126,5,sqlite3_ossfuzz
107,libfuzzer,73.26223206008883,70740,218204,769684,6,sqlite3_ossfuzz
108,honggfuzz,66.33638915254267,24720,4321,15197,1,systemd_fuzz-link-parser
109,entropic,65.38035065370765,20460,4321,15058,2,systemd_fuzz-link-parser
110,eclipser,64.2724337394161,26520,4321,15105,3,systemd_fuzz-link-parser
111,libfuzzer,62.11736579553856,19680,4321,14734,4,systemd_fuzz-link-parser
112,aflplusplus,61.85558410317964,18540,4321,14664,5,systemd_fuzz-link-parser
113,afl,58.21865223052651,18540,4321,14564,6,systemd_fuzz-link-parser
114,aflplusplus,66.71847475932962,41040,26837,95836,1,vorbis-2017-12-11
115,honggfuzz,62.95805923798771,39360,26837,91803,2,vorbis-2017-12-11
116,afl,60.33985132423002,43740,26837,91189,3,vorbis-2017-12-11
117,entropic,59.62426591982674,39840,26837,92335,4,vorbis-2017-12-11
118,eclipser,56.08637160247643,43860,26837,89927,5,vorbis-2017-12-11
119,libfuzzer,46.99356860018816,31260,26837,86655,6,vorbis-2017-12-11
