,fuzzer,covered_targets,time,target,covered_edges,rank,micro_benchmark
57,eclipser,152,60,152,1858,4,openthread-2019-12-23-IDX68
58,afl,152,60,152,1857,5,openthread-2019-12-23-IDX68
59,honggfuzz,152,60,152,1849,6,openthread-2019-12-23-IDX68
60,afl,15,240,31,1766,1,mbedtls_fuzz_dtlsclient-IDX78
61,eclipser,15,840,31,1800,2,mbedtls_fuzz_dtlsclient-IDX78
62,aflplusplus,14,60,31,1760,3,mbedtls_fuzz_dtlsclient-IDX78
63,honggfuzz,13,420,31,1804,4,mbedtls_fuzz_dtlsclient-IDX78
64,entropic,11,120,31,1712,5,mbedtls_fuzz_dtlsclient-IDX78
65,libfuzzer,11,360,31,1750,6,mbedtls_fuzz_dtlsclient-IDX78
66,libfuzzer,235,60,235,2076,1,openthread-2019-12-23-IDX6
67,entropic,235,120,235,2152,2,openthread-2019-12-23-IDX6
68,eclipser,234,60,235,2134,3,openthread-2019-12-23-IDX6
69,aflplusplus,234,60,235,2112,4,openthread-2019-12-23-IDX6
70,afl,234,60,235,2069,5,openthread-2019-12-23-IDX6
71,honggfuzz,234,60,235,1997,6,openthread-2019-12-23-IDX6
72,honggfuzz,213,480,214,3579,1,freetype2-2017-IDX31
73,libfuzzer,213,600,214,2263,2,freetype2-2017-IDX31
74,entropic,195,600,214,2323,3,freetype2-2017-IDX31
75,aflplusplus,117,840,214,2856,4,freetype2-2017-IDX31
76,eclipser,91,60,214,1705,5,freetype2-2017-IDX31
77,afl,3,60,214,1441,6,freetype2-2017-IDX31
78,aflplusplus,22,60,22,1044,1,vorbis-2017-12-11-IDX59
79,libfuzzer,22,60,22,976,2,vorbis-2017-12-11-IDX59
80,entropic,22,60,22,969,3,vorbis-2017-12-11-IDX59
81,honggfuzz,21,60,22,1034,4,vorbis-2017-12-11-IDX59
82,eclipser,21,60,22,971,5,vorbis-2017-12-11-IDX59
83,afl,21,60,22,967,6,vorbis-2017-12-11-IDX59
84,libfuzzer,4,60,4,3750,1,bloaty_fuzz_target-IDX0
85,aflplusplus,4,60,4,3736,2,bloaty_fuzz_target-IDX0
86,entropic,4,60,4,3585,3,bloaty_fuzz_target-IDX0
87,honggfuzz,4,60,4,3573,4,bloaty_fuzz_target-IDX0
88,afl,4,60,4,3429,5,bloaty_fuzz_target-IDX0
89,eclipser,4,120,4,3940,6,bloaty_fuzz_target-IDX0
90,aflplusplus,234,300,521,3652,1,freetype2-2017-IDX62
91,honggfuzz,70,300,521,3613,2,freetype2-2017-IDX62
92,eclipser,63,180,521,3071,3,freetype2-2017-IDX62
93,afl,61,240,521,2245,4,freetype2-2017-IDX62
94,entropic,61,480,521,2701,5,freetype2-2017-IDX62
95,libfuzzer,32,360,521,3136,6,freetype2-2017-IDX62
96,honggfuzz,244,60,276,2333,1,freetype2-2017-IDX49
97,entropic,244,300,276,2092,2,freetype2-2017-IDX49
98,libfuzzer,234,780,276,2122,3,freetype2-2017-IDX49
99,eclipser,232,60,276,2345,4,freetype2-2017-IDX49
100,afl,232,300,276,4244,5,freetype2-2017-IDX49
101,aflplusplus,215,60,276,2377,6,freetype2-2017-IDX49
102,aflplusplus,150,60,279,2391,1,openssl_x509-IDX65
103,honggfuzz,150,480,279,2344,2,openssl_x509-IDX65
104,eclipser,148,540,279,2778,3,openssl_x509-IDX65
105,afl,143,840,279,2219,4,openssl_x509-IDX65
106,entropic,135,60,279,2180,5,openssl_x509-IDX65
107,libfuzzer,33,60,279,2067,6,openssl_x509-IDX65
108,aflplusplus,132,600,302,2542,1,openssl_x509-IDX59
109,eclipser,131,180,302,2547,2,openssl_x509-IDX59
110,afl,131,360,302,2527,3,openssl_x509-IDX59
111,libfuzzer,129,420,302,2486,4,openssl_x509-IDX59
112,entropic,122,300,302,2386,5,openssl_x509-IDX59
113,honggfuzz,118,60,302,2356,6,openssl_x509-IDX59
114,libfuzzer,41,60,41,2233,1,proj4-2017-08-14-IDX72
115,aflplusplus,41,60,41,2123,2,proj4-2017-08-14-IDX72
116,entropic,41,60,41,1940,3,proj4-2017-08-14-IDX72
117,honggfuzz,41,60,41,1689,4,proj4-2017-08-14-IDX72
118,eclipser,41,60,41,1099,5,proj4-2017-08-14-IDX72
119,afl,41,60,41,1048,6,proj4-2017-08-14-IDX72
120,afl,11,60,11,2009,1,libpcap_fuzz_both-IDX96
121,eclipser,11,60,11,1932,2,libpcap_fuzz_both-IDX96
122,honggfuzz,11,60,11,1897,3,libpcap_fuzz_both-IDX96
123,libfuzzer,11,60,11,1830,4,libpcap_fuzz_both-IDX96
124,entropic,11,60,11,1810,5,libpcap_fuzz_both-IDX96
125,aflplusplus,11,180,11,2109,6,libpcap_fuzz_both-IDX96
126,eclipser,30,420,357,1816,1,mbedtls_fuzz_dtlsclient-IDX48
127,afl,30,420,357,1814,2,mbedtls_fuzz_dtlsclient-IDX48
128,aflplusplus,30,660,357,1883,3,mbedtls_fuzz_dtlsclient-IDX48
129,entropic,28,180,357,1791,4,mbedtls_fuzz_dtlsclient-IDX48
130,honggfuzz,28,540,357,1822,5,mbedtls_fuzz_dtlsclient-IDX48
131,libfuzzer,15,360,357,1627,6,mbedtls_fuzz_dtlsclient-IDX48
132,libfuzzer,10,60,10,1799,1,openthread-2019-12-23-IDX41
133,eclipser,10,60,10,1748,2,openthread-2019-12-23-IDX41
134,entropic,10,60,10,1730,3,openthread-2019-12-23-IDX41
135,afl,10,60,10,1728,4,openthread-2019-12-23-IDX41
136,aflplusplus,10,60,10,1719,5,openthread-2019-12-23-IDX41
137,honggfuzz,10,60,10,1706,6,openthread-2019-12-23-IDX41
138,aflplusplus,151,120,151,8992,1,sqlite3_ossfuzz-IDX77
139,eclipser,151,120,151,8936,2,sqlite3_ossfuzz-IDX77
140,afl,151,120,151,8851,3,sqlite3_ossfuzz-IDX77
141,libfuzzer,151,420,151,8684,4,sqlite3_ossfuzz-IDX77
142,honggfuzz,148,900,151,10096,5,sqlite3_ossfuzz-IDX77
143,entropic,39,600,151,9066,6,sqlite3_ossfuzz-IDX77
144,aflplusplus,909,900,911,10779,1,php_php-fuzz-parser-IDX23
145,libfuzzer,903,780,911,10603,2,php_php-fuzz-parser-IDX23
146,eclipser,898,780,911,10372,3,php_php-fuzz-parser-IDX23
147,honggfuzz,898,780,911,10117,4,php_php-fuzz-parser-IDX23
148,entropic,898,900,911,10644,5,php_php-fuzz-parser-IDX23
149,afl,870,900,911,9421,6,php_php-fuzz-parser-IDX23
150,aflplusplus,40,60,40,1237,1,lcms-2017-03-21-IDX62
151,afl,40,240,40,1363,2,lcms-2017-03-21-IDX62
152,eclipser,40,720,40,1371,3,lcms-2017-03-21-IDX62
153,entropic,40,840,40,1372,4,lcms-2017-03-21-IDX62
154,libfuzzer,38,420,40,1329,5,lcms-2017-03-21-IDX62
155,honggfuzz,32,60,40,1272,6,lcms-2017-03-21-IDX62
156,libfuzzer,57,60,57,515,1,jsoncpp_jsoncpp_fuzzer-IDX8
157,entropic,57,60,57,514,2,jsoncpp_jsoncpp_fuzzer-IDX8
158,aflplusplus,57,60,57,512,3,jsoncpp_jsoncpp_fuzzer-IDX8
159,afl,57,60,57,509,4,jsoncpp_jsoncpp_fuzzer-IDX8
160,eclipser,57,60,57,507,5,jsoncpp_jsoncpp_fuzzer-IDX8
161,honggfuzz,57,60,57,506,6,jsoncpp_jsoncpp_fuzzer-IDX8
162,eclipser,10,60,10,1105,1,libpcap_fuzz_both-IDX73
163,entropic,9,60,10,1113,2,libpcap_fuzz_both-IDX73
164,aflplusplus,9,60,10,1099,3,libpcap_fuzz_both-IDX73
165,libfuzzer,9,60,10,1098,4,libpcap_fuzz_both-IDX73
166,honggfuzz,8,60,10,1505,5,libpcap_fuzz_both-IDX73
167,afl,4,60,10,1059,6,libpcap_fuzz_both-IDX73
168,afl,19,180,66,2370,1,openthread-2019-12-23-IDX88
169,eclipser,19,660,66,2482,2,openthread-2019-12-23-IDX88
170,aflplusplus,17,60,66,2336,3,openthread-2019-12-23-IDX88
171,honggfuzz,16,60,66,2284,4,openthread-2019-12-23-IDX88
172,entropic,0,900,66,2400,5,openthread-2019-12-23-IDX88
173,libfuzzer,0,900,66,2392,6,openthread-2019-12-23-IDX88
174,libfuzzer,475,60,475,2364,1,re2-2014-12-09-IDX21
175,entropic,475,60,475,2329,2,re2-2014-12-09-IDX21
176,afl,475,120,475,2376,3,re2-2014-12-09-IDX21
177,aflplusplus,475,120,475,2287,4,re2-2014-12-09-IDX21
178,honggfuzz,475,180,475,2341,5,re2-2014-12-09-IDX21
179,eclipser,475,300,475,2272,6,re2-2014-12-09-IDX21
180,aflplusplus,43,60,43,2210,1,mbedtls_fuzz_dtlsclient-IDX3
181,honggfuzz,43,60,43,2153,2,mbedtls_fuzz_dtlsclient-IDX3
182,entropic,43,60,43,2129,3,mbedtls_fuzz_dtlsclient-IDX3
183,afl,43,60,43,1821,4,mbedtls_fuzz_dtlsclient-IDX3
184,eclipser,43,120,43,1827,5,mbedtls_fuzz_dtlsclient-IDX3
185,libfuzzer,43,180,43,1816,6,mbedtls_fuzz_dtlsclient-IDX3
186,libfuzzer,28,60,28,8109,1,sqlite3_ossfuzz-IDX30
187,entropic,28,60,28,7763,2,sqlite3_ossfuzz-IDX30
188,honggfuzz,28,60,28,7526,3,sqlite3_ossfuzz-IDX30
189,eclipser,28,120,28,8591,4,sqlite3_ossfuzz-IDX30
190,aflplusplus,28,120,28,8444,5,sqlite3_ossfuzz-IDX30
191,afl,27,60,28,7992,6,sqlite3_ossfuzz-IDX30
192,aflplusplus,101,60,1204,4458,1,curl_curl_fuzzer_http-IDX45
193,libfuzzer,101,60,1204,4407,2,curl_curl_fuzzer_http-IDX45
194,eclipser,101,120,1204,4452,3,curl_curl_fuzzer_http-IDX45
195,entropic,101,240,1204,4492,4,curl_curl_fuzzer_http-IDX45
196,honggfuzz,101,300,1204,4539,5,curl_curl_fuzzer_http-IDX45
197,afl,101,780,1204,4547,6,curl_curl_fuzzer_http-IDX45
198,libfuzzer,194,60,194,5684,1,libxslt_xpath-IDX58
199,aflplusplus,194,60,194,5601,2,libxslt_xpath-IDX58
200,afl,194,60,194,5562,3,libxslt_xpath-IDX58
201,entropic,194,60,194,5552,4,libxslt_xpath-IDX58
202,eclipser,194,60,194,5491,5,libxslt_xpath-IDX58
203,honggfuzz,194,60,194,5457,6,libxslt_xpath-IDX58
204,aflplusplus,143,60,203,1451,1,libjpeg-turbo-07-2017-IDX23
205,afl,142,300,203,1534,2,libjpeg-turbo-07-2017-IDX23
206,eclipser,141,240,203,1532,3,libjpeg-turbo-07-2017-IDX23
207,honggfuzz,117,780,203,1368,4,libjpeg-turbo-07-2017-IDX23
208,entropic,100,900,203,1272,5,libjpeg-turbo-07-2017-IDX23
209,libfuzzer,22,720,203,1074,6,libjpeg-turbo-07-2017-IDX23
210,afl,38,120,43,174,1,systemd_fuzz-link-parser-IDX10
211,eclipser,38,240,43,170,2,systemd_fuzz-link-parser-IDX10
212,libfuzzer,38,480,43,164,3,systemd_fuzz-link-parser-IDX10
213,entropic,38,720,43,166,4,systemd_fuzz-link-parser-IDX10
214,honggfuzz,35,60,43,152,5,systemd_fuzz-link-parser-IDX10
215,aflplusplus,35,480,43,162,6,systemd_fuzz-link-parser-IDX10
216,honggfuzz,167,60,167,4714,1,libxml2-v2.9.2-IDX19
217,libfuzzer,167,60,167,4364,2,libxml2-v2.9.2-IDX19
218,entropic,167,60,167,4338,3,libxml2-v2.9.2-IDX19
219,afl,167,60,167,4325,4,libxml2-v2.9.2-IDX19
220,aflplusplus,167,60,167,4127,5,libxml2-v2.9.2-IDX19
221,eclipser,167,60,167,4054,6,libxml2-v2.9.2-IDX19
222,entropic,48,540,49,3090,1,openssl_x509-IDX2
223,afl,46,180,49,3030,2,openssl_x509-IDX2
224,libfuzzer,46,540,49,2701,3,openssl_x509-IDX2
225,honggfuzz,45,60,49,2633,4,openssl_x509-IDX2
226,aflplusplus,45,120,49,2758,5,openssl_x509-IDX2
227,eclipser,45,120,49,2675,6,openssl_x509-IDX2
228,libfuzzer,56,60,56,2982,1,openssl_x509-IDX68
229,aflplusplus,56,60,56,2963,2,openssl_x509-IDX68
230,entropic,56,60,56,2906,3,openssl_x509-IDX68
231,eclipser,56,60,56,2887,4,openssl_x509-IDX68
232,afl,56,60,56,2886,5,openssl_x509-IDX68
233,honggfuzz,56,60,56,2885,6,openssl_x509-IDX68
234,honggfuzz,167,300,175,9556,1,php_php-fuzz-parser-IDX59
235,afl,165,900,175,8466,2,php_php-fuzz-parser-IDX59
236,entropic,164,600,175,9314,3,php_php-fuzz-parser-IDX59
237,aflplusplus,163,600,175,8072,4,php_php-fuzz-parser-IDX59
238,eclipser,162,420,175,8092,5,php_php-fuzz-parser-IDX59
239,libfuzzer,162,840,175,8404,6,php_php-fuzz-parser-IDX59
240,libfuzzer,51,60,51,516,1,jsoncpp_jsoncpp_fuzzer-IDX5
241,entropic,51,60,51,514,2,jsoncpp_jsoncpp_fuzzer-IDX5
242,afl,51,60,51,508,3,jsoncpp_jsoncpp_fuzzer-IDX5
243,eclipser,51,60,51,508,3,jsoncpp_jsoncpp_fuzzer-IDX5
244,aflplusplus,51,60,51,507,4,jsoncpp_jsoncpp_fuzzer-IDX5
245,honggfuzz,51,60,51,506,5,jsoncpp_jsoncpp_fuzzer-IDX5
246,eclipser,8,60,8,1329,1,libjpeg-turbo-07-2017-IDX31
247,honggfuzz,8,60,8,1308,2,libjpeg-turbo-07-2017-IDX31
248,afl,8,180,8,1491,3,libjpeg-turbo-07-2017-IDX31
249,aflplusplus,8,240,8,1621,4,libjpeg-turbo-07-2017-IDX31
250,entropic,8,300,8,1394,5,libjpeg-turbo-07-2017-IDX31
251,libfuzzer,6,780,8,1362,6,libjpeg-turbo-07-2017-IDX31
252,entropic,47,60,47,514,1,jsoncpp_jsoncpp_fuzzer-IDX44
253,aflplusplus,47,60,47,511,2,jsoncpp_jsoncpp_fuzzer-IDX44
254,eclipser,47,60,47,511,2,jsoncpp_jsoncpp_fuzzer-IDX44
255,libfuzzer,47,60,47,511,2,jsoncpp_jsoncpp_fuzzer-IDX44
256,afl,47,60,47,508,3,jsoncpp_jsoncpp_fuzzer-IDX44
257,honggfuzz,47,60,47,507,4,jsoncpp_jsoncpp_fuzzer-IDX44
258,libfuzzer,360,540,373,2161,1,libpcap_fuzz_both-IDX17
259,honggfuzz,355,660,373,2200,2,libpcap_fuzz_both-IDX17
260,entropic,353,420,373,2156,3,libpcap_fuzz_both-IDX17
261,aflplusplus,351,420,373,2219,4,libpcap_fuzz_both-IDX17
262,eclipser,346,60,373,2043,5,libpcap_fuzz_both-IDX17
263,afl,346,660,373,2165,6,libpcap_fuzz_both-IDX17
264,aflplusplus,247,900,319,1851,1,libjpeg-turbo-07-2017-IDX24
265,afl,245,60,319,1628,2,libjpeg-turbo-07-2017-IDX24
266,eclipser,245,120,319,1676,3,libjpeg-turbo-07-2017-IDX24
267,entropic,245,120,319,1509,4,libjpeg-turbo-07-2017-IDX24
268,libfuzzer,245,120,319,1507,5,libjpeg-turbo-07-2017-IDX24
269,honggfuzz,245,180,319,1697,6,libjpeg-turbo-07-2017-IDX24
270,aflplusplus,24,480,166,5961,1,libxslt_xpath-IDX66
271,entropic,23,600,166,6140,2,libxslt_xpath-IDX66
272,libfuzzer,12,60,166,5646,3,libxslt_xpath-IDX66
273,honggfuzz,12,60,166,5383,4,libxslt_xpath-IDX66
274,afl,12,60,166,5327,5,libxslt_xpath-IDX66
275,eclipser,12,60,166,5090,6,libxslt_xpath-IDX66
276,aflplusplus,11,60,11,977,1,libpng-1.2.56-IDX7
277,entropic,11,60,11,933,2,libpng-1.2.56-IDX7
278,honggfuzz,11,60,11,922,3,libpng-1.2.56-IDX7
279,afl,11,60,11,913,4,libpng-1.2.56-IDX7
280,libfuzzer,11,60,11,903,5,libpng-1.2.56-IDX7
281,eclipser,11,60,11,870,6,libpng-1.2.56-IDX7
282,afl,14,60,14,1112,1,vorbis-2017-12-11-IDX36
283,honggfuzz,14,60,14,1103,2,vorbis-2017-12-11-IDX36
284,aflplusplus,14,60,14,1101,3,vorbis-2017-12-11-IDX36
285,entropic,14,60,14,1092,4,vorbis-2017-12-11-IDX36
286,libfuzzer,14,60,14,1075,5,vorbis-2017-12-11-IDX36
287,eclipser,14,60,14,1052,6,vorbis-2017-12-11-IDX36
288,entropic,131,60,131,2052,1,proj4-2017-08-14-IDX96
289,aflplusplus,131,360,131,2206,2,proj4-2017-08-14-IDX96
290,afl,131,660,131,2383,3,proj4-2017-08-14-IDX96
291,honggfuzz,130,300,131,2701,4,proj4-2017-08-14-IDX96
292,libfuzzer,129,900,131,3250,5,proj4-2017-08-14-IDX96
293,eclipser,120,60,131,1640,6,proj4-2017-08-14-IDX96
294,aflplusplus,745,840,865,9933,1,php_php-fuzz-parser-IDX31
295,afl,722,840,865,9904,2,php_php-fuzz-parser-IDX31
296,entropic,705,600,865,9399,3,php_php-fuzz-parser-IDX31
297,honggfuzz,705,840,865,9576,4,php_php-fuzz-parser-IDX31
298,eclipser,654,780,865,8894,5,php_php-fuzz-parser-IDX31
299,libfuzzer,535,660,865,8688,6,php_php-fuzz-parser-IDX31
300,afl,196,60,196,9618,1,php_php-fuzz-parser-IDX60
301,aflplusplus,196,60,196,9533,2,php_php-fuzz-parser-IDX60
302,honggfuzz,196,60,196,9134,3,php_php-fuzz-parser-IDX60
303,entropic,196,60,196,8839,4,php_php-fuzz-parser-IDX60
304,libfuzzer,196,60,196,8209,5,php_php-fuzz-parser-IDX60
305,eclipser,196,120,196,8779,6,php_php-fuzz-parser-IDX60
306,honggfuzz,130,60,130,1099,1,vorbis-2017-12-11-IDX65
307,aflplusplus,129,360,130,1152,2,vorbis-2017-12-11-IDX65
308,eclipser,125,900,130,1129,3,vorbis-2017-12-11-IDX65
309,entropic,121,840,130,1142,4,vorbis-2017-12-11-IDX65
310,afl,115,720,130,1136,5,vorbis-2017-12-11-IDX65
311,libfuzzer,10,60,130,955,6,vorbis-2017-12-11-IDX65
312,eclipser,42,60,627,483,1,libjpeg-turbo-07-2017-IDX3
313,aflplusplus,42,60,627,475,2,libjpeg-turbo-07-2017-IDX3
314,afl,42,120,627,491,3,libjpeg-turbo-07-2017-IDX3
315,honggfuzz,42,120,627,490,4,libjpeg-turbo-07-2017-IDX3
316,entropic,42,900,627,498,5,libjpeg-turbo-07-2017-IDX3
317,libfuzzer,37,60,627,463,6,libjpeg-turbo-07-2017-IDX3
318,libfuzzer,141,60,141,2008,1,openthread-2019-12-23-IDX76
319,aflplusplus,141,120,141,2024,2,openthread-2019-12-23-IDX76
320,entropic,141,180,141,1996,3,openthread-2019-12-23-IDX76
321,afl,51,120,141,1850,4,openthread-2019-12-23-IDX76
322,eclipser,51,120,141,1846,5,openthread-2019-12-23-IDX76
323,honggfuzz,49,120,141,1814,6,openthread-2019-12-23-IDX76
324,honggfuzz,371,120,371,6669,1,sqlite3_ossfuzz-IDX2
325,entropic,371,180,371,6947,2,sqlite3_ossfuzz-IDX2
326,libfuzzer,371,240,371,7088,3,sqlite3_ossfuzz-IDX2
327,afl,371,300,371,7181,4,sqlite3_ossfuzz-IDX2
328,eclipser,371,360,371,7357,5,sqlite3_ossfuzz-IDX2
329,aflplusplus,371,360,371,7155,6,sqlite3_ossfuzz-IDX2
330,aflplusplus,23,60,23,1525,1,libjpeg-turbo-07-2017-IDX96
331,entropic,23,60,23,1326,2,libjpeg-turbo-07-2017-IDX96
332,afl,23,60,23,1176,3,libjpeg-turbo-07-2017-IDX96
333,eclipser,23,60,23,1148,4,libjpeg-turbo-07-2017-IDX96
334,honggfuzz,23,300,23,1129,5,libjpeg-turbo-07-2017-IDX96
335,libfuzzer,22,900,23,1086,6,libjpeg-turbo-07-2017-IDX96
336,honggfuzz,229,240,229,5073,1,freetype2-2017-IDX4
337,eclipser,229,840,229,5355,2,freetype2-2017-IDX4
338,entropic,208,540,229,4598,3,freetype2-2017-IDX4
339,libfuzzer,158,360,229,3956,4,freetype2-2017-IDX4
340,aflplusplus,158,780,229,4552,5,freetype2-2017-IDX4
341,afl,41,60,229,3394,6,freetype2-2017-IDX4
342,libfuzzer,5,60,5,512,1,jsoncpp_jsoncpp_fuzzer-IDX79
343,entropic,5,60,5,511,2,jsoncpp_jsoncpp_fuzzer-IDX79
344,eclipser,5,60,5,507,3,jsoncpp_jsoncpp_fuzzer-IDX79
345,honggfuzz,5,60,5,507,3,jsoncpp_jsoncpp_fuzzer-IDX79
346,afl,5,60,5,507,3,jsoncpp_jsoncpp_fuzzer-IDX79
347,aflplusplus,5,60,5,501,4,jsoncpp_jsoncpp_fuzzer-IDX79
348,honggfuzz,15,900,38,150,1,systemd_fuzz-link-parser-IDX75
349,eclipser,11,60,38,144,2,systemd_fuzz-link-parser-IDX75
350,libfuzzer,11,60,38,142,3,systemd_fuzz-link-parser-IDX75
351,afl,11,60,38,140,4,systemd_fuzz-link-parser-IDX75
352,entropic,11,60,38,140,4,systemd_fuzz-link-parser-IDX75
353,aflplusplus,11,60,38,129,5,systemd_fuzz-link-parser-IDX75
354,entropic,20,60,20,1636,1,proj4-2017-08-14-IDX90
355,aflplusplus,20,120,20,1910,2,proj4-2017-08-14-IDX90
356,honggfuzz,20,120,20,1324,3,proj4-2017-08-14-IDX90
357,libfuzzer,20,180,20,2510,4,proj4-2017-08-14-IDX90
358,afl,11,60,20,1179,5,proj4-2017-08-14-IDX90
359,eclipser,11,60,20,871,6,proj4-2017-08-14-IDX90
360,aflplusplus,66,120,71,1782,1,mbedtls_fuzz_dtlsclient-IDX16
361,entropic,24,240,71,1585,2,mbedtls_fuzz_dtlsclient-IDX16
362,libfuzzer,24,360,71,1594,3,mbedtls_fuzz_dtlsclient-IDX16
363,honggfuzz,23,60,71,1576,4,mbedtls_fuzz_dtlsclient-IDX16
364,afl,23,180,71,1604,5,mbedtls_fuzz_dtlsclient-IDX16
365,eclipser,23,480,71,1580,6,mbedtls_fuzz_dtlsclient-IDX16
366,libfuzzer,121,60,128,738,1,libpng-1.2.56-IDX71
367,entropic,121,60,128,735,2,libpng-1.2.56-IDX71
368,eclipser,119,480,128,730,3,libpng-1.2.56-IDX71
369,honggfuzz,118,120,128,729,4,libpng-1.2.56-IDX71
370,aflplusplus,118,180,128,736,5,libpng-1.2.56-IDX71
371,afl,117,360,128,719,6,libpng-1.2.56-IDX71
372,afl,3388,840,4360,7580,1,sqlite3_ossfuzz-IDX87
373,libfuzzer,3339,840,4360,7681,2,sqlite3_ossfuzz-IDX87
374,honggfuzz,3319,480,4360,7064,3,sqlite3_ossfuzz-IDX87
375,entropic,3284,900,4360,7439,4,sqlite3_ossfuzz-IDX87
376,eclipser,3272,900,4360,7445,5,sqlite3_ossfuzz-IDX87
377,aflplusplus,3248,420,4360,7156,6,sqlite3_ossfuzz-IDX87
378,libfuzzer,112,60,112,2061,1,proj4-2017-08-14-IDX62
379,entropic,112,120,112,2701,2,proj4-2017-08-14-IDX62
380,honggfuzz,112,180,112,2695,3,proj4-2017-08-14-IDX62
381,aflplusplus,108,60,112,1769,4,proj4-2017-08-14-IDX62
382,afl,105,60,112,1727,5,proj4-2017-08-14-IDX62
383,eclipser,105,120,112,1745,6,proj4-2017-08-14-IDX62
384,aflplusplus,832,900,1140,4416,1,freetype2-2017-IDX58
385,eclipser,767,900,1140,4695,2,freetype2-2017-IDX58
386,afl,741,720,1140,3503,3,freetype2-2017-IDX58
387,libfuzzer,615,780,1140,3627,4,freetype2-2017-IDX58
388,honggfuzz,451,900,1140,4744,5,freetype2-2017-IDX58
389,entropic,368,900,1140,3395,6,freetype2-2017-IDX58
