,fuzzer,coverage,time,rank,micro_benchmark
72,aflplusplus,229,60,1,sqlite3_ossfuzz-IDX71
73,libfuzzer,226,60,2,sqlite3_ossfuzz-IDX71
74,aflplusplus,1299,60,1,sqlite3_ossfuzz-IDX6
75,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX6
76,aflplusplus,226,120,1,libjpeg-turbo-07-2017-IDX24
77,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX24
78,aflplusplus,19,60,1,libjpeg-turbo-07-2017-IDX69
79,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX69
80,libfuzzer,2659,840,1,sqlite3_ossfuzz-IDX47
81,aflplusplus,2607,120,2,sqlite3_ossfuzz-IDX47
82,libfuzzer,843,600,1,sqlite3_ossfuzz-IDX96
83,aflplusplus,25,60,2,sqlite3_ossfuzz-IDX96
84,libfuzzer,7,60,1,sqlite3_ossfuzz-IDX87
85,aflplusplus,6,60,2,sqlite3_ossfuzz-IDX87
86,aflplusplus,45,840,1,sqlite3_ossfuzz-IDX98
87,libfuzzer,43,840,2,sqlite3_ossfuzz-IDX98
88,libfuzzer,138,120,1,sqlite3_ossfuzz-IDX41
89,aflplusplus,137,60,2,sqlite3_ossfuzz-IDX41
90,libfuzzer,22,60,1,bloaty_fuzz_target-IDX9
91,aflplusplus,13,60,2,bloaty_fuzz_target-IDX9
92,aflplusplus,80,60,1,bloaty_fuzz_target-IDX40
93,libfuzzer,68,60,2,bloaty_fuzz_target-IDX40
94,aflplusplus,20,120,1,bloaty_fuzz_target-IDX47
95,libfuzzer,0,900,2,bloaty_fuzz_target-IDX47
96,aflplusplus,160,60,1,bloaty_fuzz_target-IDX19
97,libfuzzer,89,60,2,bloaty_fuzz_target-IDX19
98,aflplusplus,1507,120,1,sqlite3_ossfuzz-IDX25
99,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX25
100,libfuzzer,27,600,1,bloaty_fuzz_target-IDX26
101,aflplusplus,22,120,2,bloaty_fuzz_target-IDX26
102,aflplusplus,29,60,1,bloaty_fuzz_target-IDX97
103,libfuzzer,0,900,2,bloaty_fuzz_target-IDX97
104,libfuzzer,47,120,1,sqlite3_ossfuzz-IDX59
105,aflplusplus,38,720,2,sqlite3_ossfuzz-IDX59
106,libfuzzer,29,60,1,bloaty_fuzz_target-IDX12
107,aflplusplus,2,60,2,bloaty_fuzz_target-IDX12
108,aflplusplus,22,60,1,bloaty_fuzz_target-IDX65
109,libfuzzer,18,60,2,bloaty_fuzz_target-IDX65
110,libfuzzer,227,120,1,bloaty_fuzz_target-IDX84
111,aflplusplus,0,900,2,bloaty_fuzz_target-IDX84
112,aflplusplus,2697,60,1,sqlite3_ossfuzz-IDX76
113,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX76
114,libfuzzer,2984,480,1,sqlite3_ossfuzz-IDX75
115,aflplusplus,66,780,2,sqlite3_ossfuzz-IDX75
116,aflplusplus,177,660,1,bloaty_fuzz_target-IDX68
117,libfuzzer,0,900,2,bloaty_fuzz_target-IDX68
118,libfuzzer,19,60,1,libjpeg-turbo-07-2017-IDX39
119,aflplusplus,0,900,2,libjpeg-turbo-07-2017-IDX39
120,aflplusplus,201,780,1,libjpeg-turbo-07-2017-IDX56
121,libfuzzer,11,60,2,libjpeg-turbo-07-2017-IDX56
122,aflplusplus,410,60,1,libjpeg-turbo-07-2017-IDX66
123,libfuzzer,16,60,2,libjpeg-turbo-07-2017-IDX66
124,aflplusplus,252,420,1,libjpeg-turbo-07-2017-IDX47
125,libfuzzer,176,120,2,libjpeg-turbo-07-2017-IDX47
126,libfuzzer,9,60,1,libjpeg-turbo-07-2017-IDX21
127,aflplusplus,9,60,1,libjpeg-turbo-07-2017-IDX21
128,libfuzzer,76,60,1,sqlite3_ossfuzz-IDX54
129,aflplusplus,30,60,2,sqlite3_ossfuzz-IDX54
130,aflplusplus,163,60,1,sqlite3_ossfuzz-IDX66
131,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX66
132,aflplusplus,61,120,1,libjpeg-turbo-07-2017-IDX74
133,libfuzzer,29,60,2,libjpeg-turbo-07-2017-IDX74
134,libfuzzer,78,60,1,sqlite3_ossfuzz-IDX44
135,aflplusplus,78,60,1,sqlite3_ossfuzz-IDX44
136,aflplusplus,93,60,1,libjpeg-turbo-07-2017-IDX83
137,libfuzzer,27,60,2,libjpeg-turbo-07-2017-IDX83
138,aflplusplus,191,60,1,sqlite3_ossfuzz-IDX30
139,libfuzzer,183,60,2,sqlite3_ossfuzz-IDX30
140,aflplusplus,142,60,1,libjpeg-turbo-07-2017-IDX36
141,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX36
142,libfuzzer,3341,120,1,sqlite3_ossfuzz-IDX38
143,aflplusplus,0,900,2,sqlite3_ossfuzz-IDX38
144,aflplusplus,21,60,1,sqlite3_ossfuzz-IDX89
145,libfuzzer,21,360,2,sqlite3_ossfuzz-IDX89
146,libfuzzer,2674,900,1,sqlite3_ossfuzz-IDX34
147,aflplusplus,1767,120,2,sqlite3_ossfuzz-IDX34
148,aflplusplus,110,120,1,libjpeg-turbo-07-2017-IDX4
149,libfuzzer,98,600,2,libjpeg-turbo-07-2017-IDX4
150,libfuzzer,527,60,1,sqlite3_ossfuzz-IDX33
151,aflplusplus,0,900,2,sqlite3_ossfuzz-IDX33
152,aflplusplus,23,60,1,libjpeg-turbo-07-2017-IDX60
153,libfuzzer,16,360,2,libjpeg-turbo-07-2017-IDX60
154,aflplusplus,77,60,1,libjpeg-turbo-07-2017-IDX32
155,libfuzzer,70,120,2,libjpeg-turbo-07-2017-IDX32
156,libfuzzer,87,60,1,sqlite3_ossfuzz-IDX43
157,aflplusplus,78,60,2,sqlite3_ossfuzz-IDX43
158,aflplusplus,122,60,1,libjpeg-turbo-07-2017-IDX94
159,libfuzzer,120,60,2,libjpeg-turbo-07-2017-IDX94
160,libfuzzer,87,120,1,sqlite3_ossfuzz-IDX22
161,aflplusplus,54,120,2,sqlite3_ossfuzz-IDX22
162,aflplusplus,265,60,1,libjpeg-turbo-07-2017-IDX91
163,libfuzzer,147,60,2,libjpeg-turbo-07-2017-IDX91
164,aflplusplus,243,240,1,libjpeg-turbo-07-2017-IDX95
165,libfuzzer,171,120,2,libjpeg-turbo-07-2017-IDX95
166,aflplusplus,94,60,1,sqlite3_ossfuzz-IDX29
167,libfuzzer,87,540,2,sqlite3_ossfuzz-IDX29
168,aflplusplus,339,60,1,bloaty_fuzz_target-IDX69
169,libfuzzer,240,60,2,bloaty_fuzz_target-IDX69
170,aflplusplus,17,540,1,bloaty_fuzz_target-IDX32
171,libfuzzer,0,900,2,bloaty_fuzz_target-IDX32
172,libfuzzer,141,300,1,bloaty_fuzz_target-IDX74
173,aflplusplus,84,60,2,bloaty_fuzz_target-IDX74
174,aflplusplus,44,60,1,bloaty_fuzz_target-IDX62
175,libfuzzer,44,660,2,bloaty_fuzz_target-IDX62
176,aflplusplus,4,60,1,bloaty_fuzz_target-IDX98
177,libfuzzer,0,900,2,bloaty_fuzz_target-IDX98
178,aflplusplus,99,60,1,bloaty_fuzz_target-IDX23
179,libfuzzer,49,60,2,bloaty_fuzz_target-IDX23
180,libfuzzer,18,840,1,bloaty_fuzz_target-IDX27
181,aflplusplus,9,60,2,bloaty_fuzz_target-IDX27
182,libfuzzer,16,660,1,bloaty_fuzz_target-IDX30
183,aflplusplus,12,60,2,bloaty_fuzz_target-IDX30
184,libfuzzer,23,60,1,sqlite3_ossfuzz-IDX36
185,aflplusplus,23,240,2,sqlite3_ossfuzz-IDX36
186,aflplusplus,65,300,1,bloaty_fuzz_target-IDX33
187,libfuzzer,59,900,2,bloaty_fuzz_target-IDX33
188,libfuzzer,100,600,1,bloaty_fuzz_target-IDX71
189,aflplusplus,0,900,2,bloaty_fuzz_target-IDX71
190,aflplusplus,145,60,1,bloaty_fuzz_target-IDX77
191,libfuzzer,0,900,2,bloaty_fuzz_target-IDX77
192,libfuzzer,167,60,1,bloaty_fuzz_target-IDX96
193,aflplusplus,0,900,2,bloaty_fuzz_target-IDX96
194,libfuzzer,61,720,1,bloaty_fuzz_target-IDX75
195,aflplusplus,59,840,2,bloaty_fuzz_target-IDX75
196,libfuzzer,8,720,1,bloaty_fuzz_target-IDX35
197,aflplusplus,6,60,2,bloaty_fuzz_target-IDX35
198,libfuzzer,3551,120,1,sqlite3_ossfuzz-IDX32
199,aflplusplus,0,900,2,sqlite3_ossfuzz-IDX32
200,aflplusplus,191,900,1,sqlite3_ossfuzz-IDX0
201,libfuzzer,128,660,2,sqlite3_ossfuzz-IDX0
202,aflplusplus,21,300,1,libjpeg-turbo-07-2017-IDX41
203,libfuzzer,21,660,2,libjpeg-turbo-07-2017-IDX41
204,aflplusplus,152,840,1,libjpeg-turbo-07-2017-IDX68
205,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX68
206,aflplusplus,46,60,1,libjpeg-turbo-07-2017-IDX33
207,libfuzzer,44,180,2,libjpeg-turbo-07-2017-IDX33
208,aflplusplus,2687,720,1,sqlite3_ossfuzz-IDX39
209,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX39
210,libfuzzer,235,540,1,sqlite3_ossfuzz-IDX53
211,aflplusplus,102,120,2,sqlite3_ossfuzz-IDX53
212,aflplusplus,76,120,1,libjpeg-turbo-07-2017-IDX27
213,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX27
214,aflplusplus,211,780,1,libjpeg-turbo-07-2017-IDX6
215,libfuzzer,9,60,2,libjpeg-turbo-07-2017-IDX6
216,libfuzzer,32,480,1,libjpeg-turbo-07-2017-IDX11
217,aflplusplus,29,60,2,libjpeg-turbo-07-2017-IDX11
218,aflplusplus,639,120,1,sqlite3_ossfuzz-IDX7
219,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX7
220,aflplusplus,164,60,1,sqlite3_ossfuzz-IDX91
221,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX91
222,aflplusplus,133,60,1,sqlite3_ossfuzz-IDX81
223,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX81
224,aflplusplus,164,120,1,sqlite3_ossfuzz-IDX64
225,libfuzzer,163,60,2,sqlite3_ossfuzz-IDX64
226,libfuzzer,2526,540,1,sqlite3_ossfuzz-IDX58
227,aflplusplus,2443,120,2,sqlite3_ossfuzz-IDX58
228,aflplusplus,165,120,1,libjpeg-turbo-07-2017-IDX22
229,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX22
230,aflplusplus,143,120,1,libjpeg-turbo-07-2017-IDX18
231,libfuzzer,67,780,2,libjpeg-turbo-07-2017-IDX18
232,aflplusplus,151,120,1,libjpeg-turbo-07-2017-IDX14
233,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX14
234,aflplusplus,6,60,1,libjpeg-turbo-07-2017-IDX7
235,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX7
236,aflplusplus,233,120,1,libjpeg-turbo-07-2017-IDX80
237,libfuzzer,231,360,2,libjpeg-turbo-07-2017-IDX80
238,libfuzzer,20,840,1,libjpeg-turbo-07-2017-IDX58
239,aflplusplus,14,120,2,libjpeg-turbo-07-2017-IDX58
240,aflplusplus,162,120,1,libjpeg-turbo-07-2017-IDX54
241,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX54
242,aflplusplus,9,60,1,sqlite3_ossfuzz-IDX31
243,libfuzzer,9,120,2,sqlite3_ossfuzz-IDX31
244,libfuzzer,24,180,1,sqlite3_ossfuzz-IDX24
245,aflplusplus,13,60,2,sqlite3_ossfuzz-IDX24
246,aflplusplus,53,480,1,sqlite3_ossfuzz-IDX97
247,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX97
248,libfuzzer,70,360,1,bloaty_fuzz_target-IDX21
249,aflplusplus,61,60,2,bloaty_fuzz_target-IDX21
250,libfuzzer,44,540,1,bloaty_fuzz_target-IDX0
251,aflplusplus,39,60,2,bloaty_fuzz_target-IDX0
252,aflplusplus,3440,840,1,sqlite3_ossfuzz-IDX73
253,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX73
254,libfuzzer,24,300,1,bloaty_fuzz_target-IDX44
255,aflplusplus,11,60,2,bloaty_fuzz_target-IDX44
256,libfuzzer,45,540,1,bloaty_fuzz_target-IDX37
257,aflplusplus,0,900,2,bloaty_fuzz_target-IDX37
258,libfuzzer,23,720,1,bloaty_fuzz_target-IDX46
259,aflplusplus,0,900,2,bloaty_fuzz_target-IDX46
260,libfuzzer,307,840,1,bloaty_fuzz_target-IDX61
261,aflplusplus,0,900,2,bloaty_fuzz_target-IDX61
262,libfuzzer,132,120,1,bloaty_fuzz_target-IDX67
263,aflplusplus,0,900,2,bloaty_fuzz_target-IDX67
264,aflplusplus,262,360,1,bloaty_fuzz_target-IDX78
265,libfuzzer,0,900,2,bloaty_fuzz_target-IDX78
266,aflplusplus,113,480,1,bloaty_fuzz_target-IDX79
267,libfuzzer,1,120,2,bloaty_fuzz_target-IDX79
268,libfuzzer,730,840,1,sqlite3_ossfuzz-IDX5
269,aflplusplus,616,120,2,sqlite3_ossfuzz-IDX5
270,aflplusplus,1484,300,1,sqlite3_ossfuzz-IDX8
271,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX8
272,aflplusplus,126,180,1,sqlite3_ossfuzz-IDX94
273,libfuzzer,78,840,2,sqlite3_ossfuzz-IDX94
274,libfuzzer,720,180,1,sqlite3_ossfuzz-IDX12
275,aflplusplus,0,900,2,sqlite3_ossfuzz-IDX12
276,aflplusplus,171,480,1,sqlite3_ossfuzz-IDX20
277,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX20
278,aflplusplus,1145,180,1,sqlite3_ossfuzz-IDX60
279,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX60
280,libfuzzer,21,60,1,libjpeg-turbo-07-2017-IDX28
281,aflplusplus,0,900,2,libjpeg-turbo-07-2017-IDX28
282,libfuzzer,1467,120,1,sqlite3_ossfuzz-IDX37
283,aflplusplus,54,120,2,sqlite3_ossfuzz-IDX37
284,libfuzzer,128,600,1,sqlite3_ossfuzz-IDX49
285,aflplusplus,0,900,2,sqlite3_ossfuzz-IDX49
286,aflplusplus,350,420,1,sqlite3_ossfuzz-IDX55
287,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX55
288,libfuzzer,35,780,1,libjpeg-turbo-07-2017-IDX52
289,aflplusplus,0,900,2,libjpeg-turbo-07-2017-IDX52
290,aflplusplus,72,60,1,libjpeg-turbo-07-2017-IDX23
291,libfuzzer,49,480,2,libjpeg-turbo-07-2017-IDX23
292,aflplusplus,246,60,1,libjpeg-turbo-07-2017-IDX30
293,libfuzzer,227,540,2,libjpeg-turbo-07-2017-IDX30
294,libfuzzer,169,480,1,libjpeg-turbo-07-2017-IDX40
295,aflplusplus,144,60,2,libjpeg-turbo-07-2017-IDX40
296,aflplusplus,17,60,1,libjpeg-turbo-07-2017-IDX49
297,libfuzzer,17,420,2,libjpeg-turbo-07-2017-IDX49
298,aflplusplus,214,120,1,libjpeg-turbo-07-2017-IDX57
299,libfuzzer,77,360,2,libjpeg-turbo-07-2017-IDX57
300,aflplusplus,133,120,1,libjpeg-turbo-07-2017-IDX73
301,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX73
302,aflplusplus,12,60,1,libjpeg-turbo-07-2017-IDX76
303,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX76
304,aflplusplus,20,60,1,libjpeg-turbo-07-2017-IDX98
305,libfuzzer,20,300,2,libjpeg-turbo-07-2017-IDX98
306,aflplusplus,43,60,1,bloaty_fuzz_target-IDX3
307,libfuzzer,0,900,2,bloaty_fuzz_target-IDX3
308,aflplusplus,11,60,1,libjpeg-turbo-07-2017-IDX84
309,libfuzzer,11,240,2,libjpeg-turbo-07-2017-IDX84
310,aflplusplus,6,60,1,bloaty_fuzz_target-IDX13
311,libfuzzer,0,900,2,bloaty_fuzz_target-IDX13
312,aflplusplus,356,60,1,bloaty_fuzz_target-IDX24
313,libfuzzer,0,900,2,bloaty_fuzz_target-IDX24
314,aflplusplus,57,60,1,libjpeg-turbo-07-2017-IDX78
315,libfuzzer,54,180,2,libjpeg-turbo-07-2017-IDX78
316,aflplusplus,128,120,1,bloaty_fuzz_target-IDX28
317,libfuzzer,118,60,2,bloaty_fuzz_target-IDX28
318,aflplusplus,51,60,1,sqlite3_ossfuzz-IDX26
319,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX26
320,libfuzzer,245,780,1,bloaty_fuzz_target-IDX56
321,aflplusplus,0,900,2,bloaty_fuzz_target-IDX56
322,aflplusplus,10,780,1,bloaty_fuzz_target-IDX41
323,libfuzzer,0,900,2,bloaty_fuzz_target-IDX41
324,aflplusplus,1790,840,1,sqlite3_ossfuzz-IDX14
325,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX14
326,libfuzzer,98,660,1,bloaty_fuzz_target-IDX76
327,aflplusplus,0,900,2,bloaty_fuzz_target-IDX76
328,libfuzzer,50,480,1,bloaty_fuzz_target-IDX85
329,aflplusplus,33,60,2,bloaty_fuzz_target-IDX85
330,aflplusplus,231,120,1,bloaty_fuzz_target-IDX94
331,libfuzzer,40,660,2,bloaty_fuzz_target-IDX94
332,aflplusplus,285,60,1,libjpeg-turbo-07-2017-IDX51
333,libfuzzer,14,60,2,libjpeg-turbo-07-2017-IDX51
334,aflplusplus,79,60,1,libjpeg-turbo-07-2017-IDX62
335,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX62
336,libfuzzer,43,480,1,bloaty_fuzz_target-IDX2
337,aflplusplus,30,60,2,bloaty_fuzz_target-IDX2
338,aflplusplus,48,60,1,libjpeg-turbo-07-2017-IDX86
339,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX86
340,libfuzzer,283,180,1,bloaty_fuzz_target-IDX5
341,aflplusplus,0,900,2,bloaty_fuzz_target-IDX5
342,aflplusplus,746,600,1,bloaty_fuzz_target-IDX57
343,libfuzzer,68,780,2,bloaty_fuzz_target-IDX57
344,aflplusplus,31,480,1,bloaty_fuzz_target-IDX59
345,libfuzzer,0,900,2,bloaty_fuzz_target-IDX59
346,aflplusplus,1178,60,1,bloaty_fuzz_target-IDX80
347,libfuzzer,332,300,2,bloaty_fuzz_target-IDX80
348,aflplusplus,48,60,1,libjpeg-turbo-07-2017-IDX63
349,libfuzzer,40,300,2,libjpeg-turbo-07-2017-IDX63
350,aflplusplus,12,60,1,libjpeg-turbo-07-2017-IDX43
351,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX43
352,aflplusplus,74,840,1,libjpeg-turbo-07-2017-IDX8
353,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX8
354,aflplusplus,945,120,1,sqlite3_ossfuzz-IDX72
355,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX72
356,libfuzzer,82,240,1,sqlite3_ossfuzz-IDX56
357,aflplusplus,26,60,2,sqlite3_ossfuzz-IDX56
358,aflplusplus,28,60,1,sqlite3_ossfuzz-IDX90
359,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX90
360,aflplusplus,1247,60,1,sqlite3_ossfuzz-IDX62
361,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX62
362,aflplusplus,113,120,1,sqlite3_ossfuzz-IDX79
363,libfuzzer,35,60,2,sqlite3_ossfuzz-IDX79
364,aflplusplus,156,60,1,bloaty_fuzz_target-IDX15
365,libfuzzer,0,900,2,bloaty_fuzz_target-IDX15
366,libfuzzer,190,420,1,bloaty_fuzz_target-IDX39
367,aflplusplus,156,120,2,bloaty_fuzz_target-IDX39
368,libfuzzer,248,60,1,bloaty_fuzz_target-IDX58
369,aflplusplus,154,60,2,bloaty_fuzz_target-IDX58
370,libfuzzer,47,720,1,bloaty_fuzz_target-IDX73
371,aflplusplus,8,60,2,bloaty_fuzz_target-IDX73
372,aflplusplus,15,720,1,libjpeg-turbo-07-2017-IDX38
373,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX38
374,aflplusplus,203,60,1,libjpeg-turbo-07-2017-IDX13
375,libfuzzer,203,600,2,libjpeg-turbo-07-2017-IDX13
376,aflplusplus,30,60,1,sqlite3_ossfuzz-IDX45
377,libfuzzer,27,840,2,sqlite3_ossfuzz-IDX45
378,aflplusplus,53,60,1,sqlite3_ossfuzz-IDX52
379,libfuzzer,51,120,2,sqlite3_ossfuzz-IDX52
380,aflplusplus,407,60,1,sqlite3_ossfuzz-IDX28
381,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX28
382,aflplusplus,63,780,1,bloaty_fuzz_target-IDX34
383,libfuzzer,0,900,2,bloaty_fuzz_target-IDX34
384,aflplusplus,448,120,1,sqlite3_ossfuzz-IDX4
385,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX4
386,aflplusplus,19,420,1,bloaty_fuzz_target-IDX29
387,libfuzzer,15,60,2,bloaty_fuzz_target-IDX29
388,libfuzzer,2251,780,1,sqlite3_ossfuzz-IDX61
389,aflplusplus,680,360,2,sqlite3_ossfuzz-IDX61
390,libfuzzer,589,840,1,sqlite3_ossfuzz-IDX21
391,aflplusplus,587,120,2,sqlite3_ossfuzz-IDX21
392,aflplusplus,20,180,1,sqlite3_ossfuzz-IDX46
393,libfuzzer,20,300,2,sqlite3_ossfuzz-IDX46
394,aflplusplus,30,720,1,sqlite3_ossfuzz-IDX10
395,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX10
396,libfuzzer,20,720,1,bloaty_fuzz_target-IDX16
397,aflplusplus,0,900,2,bloaty_fuzz_target-IDX16
398,aflplusplus,80,60,1,sqlite3_ossfuzz-IDX63
399,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX63
400,aflplusplus,89,540,1,sqlite3_ossfuzz-IDX69
401,libfuzzer,0,900,2,sqlite3_ossfuzz-IDX69
402,aflplusplus,31,60,1,libjpeg-turbo-07-2017-IDX87
403,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX87
404,aflplusplus,225,60,1,libjpeg-turbo-07-2017-IDX64
405,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX64
406,aflplusplus,101,780,1,sqlite3_ossfuzz-IDX88
407,libfuzzer,101,840,2,sqlite3_ossfuzz-IDX88
408,aflplusplus,1252,60,1,sqlite3_ossfuzz-IDX1
409,libfuzzer,1252,420,2,sqlite3_ossfuzz-IDX1
410,aflplusplus,336,120,1,libjpeg-turbo-07-2017-IDX96
411,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX96
412,libfuzzer,390,900,1,bloaty_fuzz_target-IDX45
413,aflplusplus,305,60,2,bloaty_fuzz_target-IDX45
414,libfuzzer,46,900,1,bloaty_fuzz_target-IDX22
415,aflplusplus,0,900,2,bloaty_fuzz_target-IDX22
416,aflplusplus,90,60,1,libjpeg-turbo-07-2017-IDX35
417,libfuzzer,15,60,2,libjpeg-turbo-07-2017-IDX35
