micro_benchmark,aflplusplus,libfuzzer
libjpeg-turbo-07-2017-IDX54,1,2
libjpeg-turbo-07-2017-IDX55,1,2
libjpeg-turbo-07-2017-IDX56,1,2
libjpeg-turbo-07-2017-IDX57,1,2
libjpeg-turbo-07-2017-IDX58,2,1
libjpeg-turbo-07-2017-IDX59,1,2
libjpeg-turbo-07-2017-IDX6,1,2
libjpeg-turbo-07-2017-IDX60,1,2
libjpeg-turbo-07-2017-IDX61,1,2
libjpeg-turbo-07-2017-IDX62,1,2
libjpeg-turbo-07-2017-IDX63,1,2
libjpeg-turbo-07-2017-IDX64,1,2
libjpeg-turbo-07-2017-IDX66,1,2
libjpeg-turbo-07-2017-IDX67,1,2
libjpeg-turbo-07-2017-IDX68,1,2
libjpeg-turbo-07-2017-IDX69,1,2
libjpeg-turbo-07-2017-IDX7,1,2
libjpeg-turbo-07-2017-IDX70,1,1
libjpeg-turbo-07-2017-IDX71,1,2
libjpeg-turbo-07-2017-IDX72,1,2
libjpeg-turbo-07-2017-IDX73,1,2
libjpeg-turbo-07-2017-IDX74,1,2
libjpeg-turbo-07-2017-IDX75,1,2
libjpeg-turbo-07-2017-IDX76,1,2
libjpeg-turbo-07-2017-IDX77,1,2
libjpeg-turbo-07-2017-IDX78,1,2
libjpeg-turbo-07-2017-IDX79,1,2
libjpeg-turbo-07-2017-IDX8,1,2
libjpeg-turbo-07-2017-IDX80,1,2
libjpeg-turbo-07-2017-IDX81,1,2
libjpeg-turbo-07-2017-IDX83,1,2
libjpeg-turbo-07-2017-IDX84,1,2
libjpeg-turbo-07-2017-IDX85,1,2
libjpeg-turbo-07-2017-IDX86,1,2
libjpeg-turbo-07-2017-IDX87,1,2
libjpeg-turbo-07-2017-IDX88,1,2
libjpeg-turbo-07-2017-IDX9,1,2
libjpeg-turbo-07-2017-IDX90,1,2
libjpeg-turbo-07-2017-IDX91,1,2
libjpeg-turbo-07-2017-IDX92,1,2
libjpeg-turbo-07-2017-IDX93,1,2
libjpeg-turbo-07-2017-IDX94,1,2
libjpeg-turbo-07-2017-IDX95,1,2
libjpeg-turbo-07-2017-IDX96,1,2
libjpeg-turbo-07-2017-IDX97,2,1
libjpeg-turbo-07-2017-IDX98,1,2
libjpeg-turbo-07-2017-IDX99,1,2
sqlite3_ossfuzz-IDX0,1,2
sqlite3_ossfuzz-IDX1,1,2
sqlite3_ossfuzz-IDX10,1,2
sqlite3_ossfuzz-IDX11,2,1
sqlite3_ossfuzz-IDX12,2,1
sqlite3_ossfuzz-IDX13,1,2
sqlite3_ossfuzz-IDX14,1,2
sqlite3_ossfuzz-IDX15,2,1
sqlite3_ossfuzz-IDX16,1,1
sqlite3_ossfuzz-IDX17,2,1
sqlite3_ossfuzz-IDX19,2,1
sqlite3_ossfuzz-IDX2,2,1
sqlite3_ossfuzz-IDX20,1,2
sqlite3_ossfuzz-IDX21,2,1
sqlite3_ossfuzz-IDX22,2,1
sqlite3_ossfuzz-IDX23,2,1
sqlite3_ossfuzz-IDX24,2,1
sqlite3_ossfuzz-IDX25,1,2
sqlite3_ossfuzz-IDX26,1,2
sqlite3_ossfuzz-IDX27,1,2
sqlite3_ossfuzz-IDX28,1,2
sqlite3_ossfuzz-IDX29,1,2
sqlite3_ossfuzz-IDX3,1,2
sqlite3_ossfuzz-IDX30,1,2
sqlite3_ossfuzz-IDX31,1,2
sqlite3_ossfuzz-IDX32,2,1
sqlite3_ossfuzz-IDX33,2,1
sqlite3_ossfuzz-IDX34,2,1
sqlite3_ossfuzz-IDX35,1,2
sqlite3_ossfuzz-IDX36,2,1
sqlite3_ossfuzz-IDX37,2,1
sqlite3_ossfuzz-IDX38,2,1
sqlite3_ossfuzz-IDX39,1,2
sqlite3_ossfuzz-IDX4,1,2
sqlite3_ossfuzz-IDX40,1,2
sqlite3_ossfuzz-IDX41,2,1
sqlite3_ossfuzz-IDX42,1,1
sqlite3_ossfuzz-IDX43,2,1
sqlite3_ossfuzz-IDX44,1,1
sqlite3_ossfuzz-IDX45,1,2
sqlite3_ossfuzz-IDX46,1,2
sqlite3_ossfuzz-IDX47,2,1
sqlite3_ossfuzz-IDX48,2,1
sqlite3_ossfuzz-IDX49,2,1
sqlite3_ossfuzz-IDX5,2,1
sqlite3_ossfuzz-IDX50,1,1
sqlite3_ossfuzz-IDX52,1,2
sqlite3_ossfuzz-IDX53,2,1
sqlite3_ossfuzz-IDX54,2,1
sqlite3_ossfuzz-IDX55,1,2
sqlite3_ossfuzz-IDX56,2,1
sqlite3_ossfuzz-IDX57,1,2
sqlite3_ossfuzz-IDX58,2,1
sqlite3_ossfuzz-IDX59,2,1
sqlite3_ossfuzz-IDX6,1,2
sqlite3_ossfuzz-IDX60,1,2
sqlite3_ossfuzz-IDX61,2,1
sqlite3_ossfuzz-IDX62,1,2
sqlite3_ossfuzz-IDX63,1,2
sqlite3_ossfuzz-IDX64,1,2
sqlite3_ossfuzz-IDX65,1,2
sqlite3_ossfuzz-IDX66,1,2
sqlite3_ossfuzz-IDX68,2,1
sqlite3_ossfuzz-IDX69,1,2
sqlite3_ossfuzz-IDX7,1,2
sqlite3_ossfuzz-IDX71,1,2
sqlite3_ossfuzz-IDX72,1,2
sqlite3_ossfuzz-IDX73,1,2
sqlite3_ossfuzz-IDX74,2,1
sqlite3_ossfuzz-IDX75,2,1
sqlite3_ossfuzz-IDX76,1,2
sqlite3_ossfuzz-IDX77,2,1
sqlite3_ossfuzz-IDX79,1,2
sqlite3_ossfuzz-IDX8,1,2
sqlite3_ossfuzz-IDX80,2,1
sqlite3_ossfuzz-IDX81,1,2
sqlite3_ossfuzz-IDX82,2,1
sqlite3_ossfuzz-IDX84,1,1
sqlite3_ossfuzz-IDX86,1,2
sqlite3_ossfuzz-IDX87,2,1
sqlite3_ossfuzz-IDX88,1,2
sqlite3_ossfuzz-IDX89,1,2
sqlite3_ossfuzz-IDX9,2,1
sqlite3_ossfuzz-IDX90,1,2
sqlite3_ossfuzz-IDX91,1,2
sqlite3_ossfuzz-IDX92,2,1
sqlite3_ossfuzz-IDX93,2,1
sqlite3_ossfuzz-IDX94,1,2
sqlite3_ossfuzz-IDX96,2,1
sqlite3_ossfuzz-IDX97,1,2
sqlite3_ossfuzz-IDX98,1,2
