,fuzzer,coverage,time,rank,micro_benchmark
72,honggfuzz,213,480,1,freetype2-2017-IDX31
73,libfuzzer,213,600,2,freetype2-2017-IDX31
74,entropic,195,600,3,freetype2-2017-IDX31
75,aflplusplus,117,840,4,freetype2-2017-IDX31
76,eclipser,91,60,5,freetype2-2017-IDX31
77,afl,3,60,6,freetype2-2017-IDX31
78,libfuzzer,22,60,1,vorbis-2017-12-11-IDX59
79,entropic,22,60,1,vorbis-2017-12-11-IDX59
80,aflplusplus,22,60,1,vorbis-2017-12-11-IDX59
81,afl,21,60,2,vorbis-2017-12-11-IDX59
82,honggfuzz,21,60,2,vorbis-2017-12-11-IDX59
83,eclipser,21,60,2,vorbis-2017-12-11-IDX59
84,libfuzzer,4,60,1,bloaty_fuzz_target-IDX0
85,aflplusplus,4,60,1,bloaty_fuzz_target-IDX0
86,afl,4,60,1,bloaty_fuzz_target-IDX0
87,honggfuzz,4,60,1,bloaty_fuzz_target-IDX0
88,entropic,4,60,1,bloaty_fuzz_target-IDX0
89,eclipser,4,120,2,bloaty_fuzz_target-IDX0
90,aflplusplus,234,300,1,freetype2-2017-IDX62
91,honggfuzz,70,300,2,freetype2-2017-IDX62
92,eclipser,63,180,3,freetype2-2017-IDX62
93,afl,61,240,4,freetype2-2017-IDX62
94,entropic,61,480,5,freetype2-2017-IDX62
95,libfuzzer,32,360,6,freetype2-2017-IDX62
96,honggfuzz,244,60,1,freetype2-2017-IDX49
97,entropic,244,300,2,freetype2-2017-IDX49
98,libfuzzer,234,780,3,freetype2-2017-IDX49
99,eclipser,232,60,4,freetype2-2017-IDX49
100,afl,232,300,5,freetype2-2017-IDX49
101,aflplusplus,215,60,6,freetype2-2017-IDX49
102,aflplusplus,150,60,1,openssl_x509-IDX65
103,honggfuzz,150,480,2,openssl_x509-IDX65
104,eclipser,148,540,3,openssl_x509-IDX65
105,afl,143,840,4,openssl_x509-IDX65
106,entropic,135,60,5,openssl_x509-IDX65
107,libfuzzer,33,60,6,openssl_x509-IDX65
108,aflplusplus,132,600,1,openssl_x509-IDX59
109,eclipser,131,180,2,openssl_x509-IDX59
110,afl,131,360,3,openssl_x509-IDX59
111,libfuzzer,129,420,4,openssl_x509-IDX59
112,entropic,122,300,5,openssl_x509-IDX59
113,honggfuzz,118,60,6,openssl_x509-IDX59
114,honggfuzz,41,60,1,proj4-2017-08-14-IDX72
115,aflplusplus,41,60,1,proj4-2017-08-14-IDX72
116,afl,41,60,1,proj4-2017-08-14-IDX72
117,libfuzzer,41,60,1,proj4-2017-08-14-IDX72
118,eclipser,41,60,1,proj4-2017-08-14-IDX72
119,entropic,41,60,1,proj4-2017-08-14-IDX72
120,afl,11,60,1,libpcap_fuzz_both-IDX96
121,honggfuzz,11,60,1,libpcap_fuzz_both-IDX96
122,libfuzzer,11,60,1,libpcap_fuzz_both-IDX96
123,entropic,11,60,1,libpcap_fuzz_both-IDX96
124,eclipser,11,60,1,libpcap_fuzz_both-IDX96
125,aflplusplus,11,180,2,libpcap_fuzz_both-IDX96
126,eclipser,30,420,1,mbedtls_fuzz_dtlsclient-IDX48
127,afl,30,420,1,mbedtls_fuzz_dtlsclient-IDX48
128,aflplusplus,30,660,2,mbedtls_fuzz_dtlsclient-IDX48
129,entropic,28,180,3,mbedtls_fuzz_dtlsclient-IDX48
130,honggfuzz,28,540,4,mbedtls_fuzz_dtlsclient-IDX48
131,libfuzzer,15,360,5,mbedtls_fuzz_dtlsclient-IDX48
132,afl,10,60,1,openthread-2019-12-23-IDX41
133,eclipser,10,60,1,openthread-2019-12-23-IDX41
134,entropic,10,60,1,openthread-2019-12-23-IDX41
135,libfuzzer,10,60,1,openthread-2019-12-23-IDX41
136,honggfuzz,10,60,1,openthread-2019-12-23-IDX41
137,aflplusplus,10,60,1,openthread-2019-12-23-IDX41
138,eclipser,151,120,1,sqlite3_ossfuzz-IDX77
139,aflplusplus,151,120,1,sqlite3_ossfuzz-IDX77
140,afl,151,120,1,sqlite3_ossfuzz-IDX77
141,libfuzzer,151,420,2,sqlite3_ossfuzz-IDX77
142,honggfuzz,148,900,3,sqlite3_ossfuzz-IDX77
143,entropic,39,600,4,sqlite3_ossfuzz-IDX77
144,aflplusplus,909,900,1,php_php-fuzz-parser-IDX23
145,libfuzzer,903,780,2,php_php-fuzz-parser-IDX23
146,eclipser,898,780,3,php_php-fuzz-parser-IDX23
147,honggfuzz,898,780,3,php_php-fuzz-parser-IDX23
148,entropic,898,900,4,php_php-fuzz-parser-IDX23
149,afl,870,900,5,php_php-fuzz-parser-IDX23
150,aflplusplus,40,60,1,lcms-2017-03-21-IDX62
151,afl,40,240,2,lcms-2017-03-21-IDX62
152,eclipser,40,720,3,lcms-2017-03-21-IDX62
153,entropic,40,840,4,lcms-2017-03-21-IDX62
154,libfuzzer,38,420,5,lcms-2017-03-21-IDX62
155,honggfuzz,32,60,6,lcms-2017-03-21-IDX62
156,honggfuzz,57,60,1,jsoncpp_jsoncpp_fuzzer-IDX8
157,aflplusplus,57,60,1,jsoncpp_jsoncpp_fuzzer-IDX8
158,libfuzzer,57,60,1,jsoncpp_jsoncpp_fuzzer-IDX8
159,entropic,57,60,1,jsoncpp_jsoncpp_fuzzer-IDX8
160,eclipser,57,60,1,jsoncpp_jsoncpp_fuzzer-IDX8
161,afl,57,60,1,jsoncpp_jsoncpp_fuzzer-IDX8
162,eclipser,10,60,1,libpcap_fuzz_both-IDX73
163,libfuzzer,9,60,2,libpcap_fuzz_both-IDX73
164,aflplusplus,9,60,2,libpcap_fuzz_both-IDX73
165,entropic,9,60,2,libpcap_fuzz_both-IDX73
166,honggfuzz,8,60,3,libpcap_fuzz_both-IDX73
167,afl,4,60,4,libpcap_fuzz_both-IDX73
168,afl,19,180,1,openthread-2019-12-23-IDX88
169,eclipser,19,660,2,openthread-2019-12-23-IDX88
170,aflplusplus,17,60,3,openthread-2019-12-23-IDX88
171,honggfuzz,16,60,4,openthread-2019-12-23-IDX88
172,libfuzzer,0,900,5,openthread-2019-12-23-IDX88
173,entropic,0,900,5,openthread-2019-12-23-IDX88
174,libfuzzer,475,60,1,re2-2014-12-09-IDX21
175,entropic,475,60,1,re2-2014-12-09-IDX21
176,afl,475,120,2,re2-2014-12-09-IDX21
177,aflplusplus,475,120,2,re2-2014-12-09-IDX21
178,honggfuzz,475,180,3,re2-2014-12-09-IDX21
179,eclipser,475,300,4,re2-2014-12-09-IDX21
180,entropic,43,60,1,mbedtls_fuzz_dtlsclient-IDX3
181,honggfuzz,43,60,1,mbedtls_fuzz_dtlsclient-IDX3
182,aflplusplus,43,60,1,mbedtls_fuzz_dtlsclient-IDX3
183,afl,43,60,1,mbedtls_fuzz_dtlsclient-IDX3
184,eclipser,43,120,2,mbedtls_fuzz_dtlsclient-IDX3
185,libfuzzer,43,180,3,mbedtls_fuzz_dtlsclient-IDX3
186,entropic,28,60,1,sqlite3_ossfuzz-IDX30
187,honggfuzz,28,60,1,sqlite3_ossfuzz-IDX30
188,libfuzzer,28,60,1,sqlite3_ossfuzz-IDX30
189,aflplusplus,28,120,2,sqlite3_ossfuzz-IDX30
190,eclipser,28,120,2,sqlite3_ossfuzz-IDX30
191,afl,27,60,3,sqlite3_ossfuzz-IDX30
192,aflplusplus,101,60,1,curl_curl_fuzzer_http-IDX45
193,libfuzzer,101,60,1,curl_curl_fuzzer_http-IDX45
194,eclipser,101,120,2,curl_curl_fuzzer_http-IDX45
195,entropic,101,240,3,curl_curl_fuzzer_http-IDX45
196,honggfuzz,101,300,4,curl_curl_fuzzer_http-IDX45
197,afl,101,780,5,curl_curl_fuzzer_http-IDX45
198,aflplusplus,194,60,1,libxslt_xpath-IDX58
199,eclipser,194,60,1,libxslt_xpath-IDX58
200,entropic,194,60,1,libxslt_xpath-IDX58
201,libfuzzer,194,60,1,libxslt_xpath-IDX58
202,afl,194,60,1,libxslt_xpath-IDX58
203,honggfuzz,194,60,1,libxslt_xpath-IDX58
204,aflplusplus,143,60,1,libjpeg-turbo-07-2017-IDX23
205,afl,142,300,2,libjpeg-turbo-07-2017-IDX23
206,eclipser,141,240,3,libjpeg-turbo-07-2017-IDX23
207,honggfuzz,117,780,4,libjpeg-turbo-07-2017-IDX23
208,entropic,100,900,5,libjpeg-turbo-07-2017-IDX23
209,libfuzzer,22,720,6,libjpeg-turbo-07-2017-IDX23
210,afl,38,120,1,systemd_fuzz-link-parser-IDX10
211,eclipser,38,240,2,systemd_fuzz-link-parser-IDX10
212,libfuzzer,38,480,3,systemd_fuzz-link-parser-IDX10
213,entropic,38,720,4,systemd_fuzz-link-parser-IDX10
214,honggfuzz,35,60,5,systemd_fuzz-link-parser-IDX10
215,aflplusplus,35,480,6,systemd_fuzz-link-parser-IDX10
216,libfuzzer,167,60,1,libxml2-v2.9.2-IDX19
217,afl,167,60,1,libxml2-v2.9.2-IDX19
218,aflplusplus,167,60,1,libxml2-v2.9.2-IDX19
219,honggfuzz,167,60,1,libxml2-v2.9.2-IDX19
220,eclipser,167,60,1,libxml2-v2.9.2-IDX19
221,entropic,167,60,1,libxml2-v2.9.2-IDX19
222,entropic,48,540,1,openssl_x509-IDX2
223,afl,46,180,2,openssl_x509-IDX2
224,libfuzzer,46,540,3,openssl_x509-IDX2
225,honggfuzz,45,60,4,openssl_x509-IDX2
226,aflplusplus,45,120,5,openssl_x509-IDX2
227,eclipser,45,120,5,openssl_x509-IDX2
228,libfuzzer,56,60,1,openssl_x509-IDX68
229,aflplusplus,56,60,1,openssl_x509-IDX68
230,eclipser,56,60,1,openssl_x509-IDX68
231,honggfuzz,56,60,1,openssl_x509-IDX68
232,entropic,56,60,1,openssl_x509-IDX68
233,afl,56,60,1,openssl_x509-IDX68
234,honggfuzz,167,300,1,php_php-fuzz-parser-IDX59
235,afl,165,900,2,php_php-fuzz-parser-IDX59
236,entropic,164,600,3,php_php-fuzz-parser-IDX59
237,aflplusplus,163,600,4,php_php-fuzz-parser-IDX59
238,eclipser,162,420,5,php_php-fuzz-parser-IDX59
239,libfuzzer,162,840,6,php_php-fuzz-parser-IDX59
240,afl,51,60,1,jsoncpp_jsoncpp_fuzzer-IDX5
241,entropic,51,60,1,jsoncpp_jsoncpp_fuzzer-IDX5
242,aflplusplus,51,60,1,jsoncpp_jsoncpp_fuzzer-IDX5
243,libfuzzer,51,60,1,jsoncpp_jsoncpp_fuzzer-IDX5
244,eclipser,51,60,1,jsoncpp_jsoncpp_fuzzer-IDX5
245,honggfuzz,51,60,1,jsoncpp_jsoncpp_fuzzer-IDX5
246,honggfuzz,8,60,1,libjpeg-turbo-07-2017-IDX31
247,eclipser,8,60,1,libjpeg-turbo-07-2017-IDX31
248,afl,8,180,2,libjpeg-turbo-07-2017-IDX31
249,aflplusplus,8,240,3,libjpeg-turbo-07-2017-IDX31
250,entropic,8,300,4,libjpeg-turbo-07-2017-IDX31
251,libfuzzer,6,780,5,libjpeg-turbo-07-2017-IDX31
252,aflplusplus,47,60,1,jsoncpp_jsoncpp_fuzzer-IDX44
253,afl,47,60,1,jsoncpp_jsoncpp_fuzzer-IDX44
254,eclipser,47,60,1,jsoncpp_jsoncpp_fuzzer-IDX44
255,libfuzzer,47,60,1,jsoncpp_jsoncpp_fuzzer-IDX44
256,honggfuzz,47,60,1,jsoncpp_jsoncpp_fuzzer-IDX44
257,entropic,47,60,1,jsoncpp_jsoncpp_fuzzer-IDX44
258,libfuzzer,360,540,1,libpcap_fuzz_both-IDX17
259,honggfuzz,355,660,2,libpcap_fuzz_both-IDX17
260,entropic,353,420,3,libpcap_fuzz_both-IDX17
261,aflplusplus,351,420,4,libpcap_fuzz_both-IDX17
262,eclipser,346,60,5,libpcap_fuzz_both-IDX17
263,afl,346,660,6,libpcap_fuzz_both-IDX17
264,aflplusplus,247,900,1,libjpeg-turbo-07-2017-IDX24
265,afl,245,60,2,libjpeg-turbo-07-2017-IDX24
266,libfuzzer,245,120,3,libjpeg-turbo-07-2017-IDX24
267,entropic,245,120,3,libjpeg-turbo-07-2017-IDX24
268,eclipser,245,120,3,libjpeg-turbo-07-2017-IDX24
269,honggfuzz,245,180,4,libjpeg-turbo-07-2017-IDX24
270,aflplusplus,24,480,1,libxslt_xpath-IDX66
271,entropic,23,600,2,libxslt_xpath-IDX66
272,libfuzzer,12,60,3,libxslt_xpath-IDX66
273,honggfuzz,12,60,3,libxslt_xpath-IDX66
274,afl,12,60,3,libxslt_xpath-IDX66
275,eclipser,12,60,3,libxslt_xpath-IDX66
276,eclipser,11,60,1,libpng-1.2.56-IDX7
277,afl,11,60,1,libpng-1.2.56-IDX7
278,honggfuzz,11,60,1,libpng-1.2.56-IDX7
279,entropic,11,60,1,libpng-1.2.56-IDX7
280,libfuzzer,11,60,1,libpng-1.2.56-IDX7
281,aflplusplus,11,60,1,libpng-1.2.56-IDX7
282,eclipser,14,60,1,vorbis-2017-12-11-IDX36
283,libfuzzer,14,60,1,vorbis-2017-12-11-IDX36
284,aflplusplus,14,60,1,vorbis-2017-12-11-IDX36
285,afl,14,60,1,vorbis-2017-12-11-IDX36
286,honggfuzz,14,60,1,vorbis-2017-12-11-IDX36
287,entropic,14,60,1,vorbis-2017-12-11-IDX36
288,entropic,131,60,1,proj4-2017-08-14-IDX96
289,aflplusplus,131,360,2,proj4-2017-08-14-IDX96
290,afl,131,660,3,proj4-2017-08-14-IDX96
291,honggfuzz,130,300,4,proj4-2017-08-14-IDX96
292,libfuzzer,129,900,5,proj4-2017-08-14-IDX96
293,eclipser,120,60,6,proj4-2017-08-14-IDX96
294,aflplusplus,745,840,1,php_php-fuzz-parser-IDX31
295,afl,722,840,2,php_php-fuzz-parser-IDX31
296,entropic,705,600,3,php_php-fuzz-parser-IDX31
297,honggfuzz,705,840,4,php_php-fuzz-parser-IDX31
298,eclipser,654,780,5,php_php-fuzz-parser-IDX31
299,libfuzzer,535,660,6,php_php-fuzz-parser-IDX31
300,afl,196,60,1,php_php-fuzz-parser-IDX60
301,aflplusplus,196,60,1,php_php-fuzz-parser-IDX60
302,entropic,196,60,1,php_php-fuzz-parser-IDX60
303,libfuzzer,196,60,1,php_php-fuzz-parser-IDX60
304,honggfuzz,196,60,1,php_php-fuzz-parser-IDX60
305,eclipser,196,120,2,php_php-fuzz-parser-IDX60
306,honggfuzz,130,60,1,vorbis-2017-12-11-IDX65
307,aflplusplus,129,360,2,vorbis-2017-12-11-IDX65
308,eclipser,125,900,3,vorbis-2017-12-11-IDX65
309,entropic,121,840,4,vorbis-2017-12-11-IDX65
310,afl,115,720,5,vorbis-2017-12-11-IDX65
311,libfuzzer,10,60,6,vorbis-2017-12-11-IDX65
312,aflplusplus,42,60,1,libjpeg-turbo-07-2017-IDX3
313,eclipser,42,60,1,libjpeg-turbo-07-2017-IDX3
314,honggfuzz,42,120,2,libjpeg-turbo-07-2017-IDX3
315,afl,42,120,2,libjpeg-turbo-07-2017-IDX3
316,entropic,42,900,3,libjpeg-turbo-07-2017-IDX3
317,libfuzzer,37,60,4,libjpeg-turbo-07-2017-IDX3
318,libfuzzer,141,60,1,openthread-2019-12-23-IDX76
319,aflplusplus,141,120,2,openthread-2019-12-23-IDX76
320,entropic,141,180,3,openthread-2019-12-23-IDX76
321,afl,51,120,4,openthread-2019-12-23-IDX76
322,eclipser,51,120,4,openthread-2019-12-23-IDX76
323,honggfuzz,49,120,5,openthread-2019-12-23-IDX76
324,honggfuzz,371,120,1,sqlite3_ossfuzz-IDX2
325,entropic,371,180,2,sqlite3_ossfuzz-IDX2
326,libfuzzer,371,240,3,sqlite3_ossfuzz-IDX2
327,afl,371,300,4,sqlite3_ossfuzz-IDX2
328,eclipser,371,360,5,sqlite3_ossfuzz-IDX2
329,aflplusplus,371,360,5,sqlite3_ossfuzz-IDX2
330,aflplusplus,23,60,1,libjpeg-turbo-07-2017-IDX96
331,eclipser,23,60,1,libjpeg-turbo-07-2017-IDX96
332,entropic,23,60,1,libjpeg-turbo-07-2017-IDX96
333,afl,23,60,1,libjpeg-turbo-07-2017-IDX96
334,honggfuzz,23,300,2,libjpeg-turbo-07-2017-IDX96
335,libfuzzer,22,900,3,libjpeg-turbo-07-2017-IDX96
336,honggfuzz,229,240,1,freetype2-2017-IDX4
337,eclipser,229,840,2,freetype2-2017-IDX4
338,entropic,208,540,3,freetype2-2017-IDX4
339,libfuzzer,158,360,4,freetype2-2017-IDX4
340,aflplusplus,158,780,5,freetype2-2017-IDX4
341,afl,41,60,6,freetype2-2017-IDX4
342,aflplusplus,5,60,1,jsoncpp_jsoncpp_fuzzer-IDX79
343,eclipser,5,60,1,jsoncpp_jsoncpp_fuzzer-IDX79
344,libfuzzer,5,60,1,jsoncpp_jsoncpp_fuzzer-IDX79
345,honggfuzz,5,60,1,jsoncpp_jsoncpp_fuzzer-IDX79
346,afl,5,60,1,jsoncpp_jsoncpp_fuzzer-IDX79
347,entropic,5,60,1,jsoncpp_jsoncpp_fuzzer-IDX79
348,honggfuzz,15,900,1,systemd_fuzz-link-parser-IDX75
349,aflplusplus,11,60,2,systemd_fuzz-link-parser-IDX75
350,eclipser,11,60,2,systemd_fuzz-link-parser-IDX75
351,afl,11,60,2,systemd_fuzz-link-parser-IDX75
352,entropic,11,60,2,systemd_fuzz-link-parser-IDX75
353,libfuzzer,11,60,2,systemd_fuzz-link-parser-IDX75
354,entropic,20,60,1,proj4-2017-08-14-IDX90
355,aflplusplus,20,120,2,proj4-2017-08-14-IDX90
356,honggfuzz,20,120,2,proj4-2017-08-14-IDX90
357,libfuzzer,20,180,3,proj4-2017-08-14-IDX90
358,afl,11,60,4,proj4-2017-08-14-IDX90
359,eclipser,11,60,4,proj4-2017-08-14-IDX90
360,aflplusplus,66,120,1,mbedtls_fuzz_dtlsclient-IDX16
361,entropic,24,240,2,mbedtls_fuzz_dtlsclient-IDX16
362,libfuzzer,24,360,3,mbedtls_fuzz_dtlsclient-IDX16
363,honggfuzz,23,60,4,mbedtls_fuzz_dtlsclient-IDX16
364,afl,23,180,5,mbedtls_fuzz_dtlsclient-IDX16
365,eclipser,23,480,6,mbedtls_fuzz_dtlsclient-IDX16
366,libfuzzer,121,60,1,libpng-1.2.56-IDX71
367,entropic,121,60,1,libpng-1.2.56-IDX71
368,eclipser,119,480,2,libpng-1.2.56-IDX71
369,honggfuzz,118,120,3,libpng-1.2.56-IDX71
370,aflplusplus,118,180,4,libpng-1.2.56-IDX71
371,afl,117,360,5,libpng-1.2.56-IDX71
372,afl,3388,840,1,sqlite3_ossfuzz-IDX87
373,libfuzzer,3339,840,2,sqlite3_ossfuzz-IDX87
374,honggfuzz,3319,480,3,sqlite3_ossfuzz-IDX87
375,entropic,3284,900,4,sqlite3_ossfuzz-IDX87
376,eclipser,3272,900,5,sqlite3_ossfuzz-IDX87
377,aflplusplus,3248,420,6,sqlite3_ossfuzz-IDX87
378,libfuzzer,112,60,1,proj4-2017-08-14-IDX62
379,entropic,112,120,2,proj4-2017-08-14-IDX62
380,honggfuzz,112,180,3,proj4-2017-08-14-IDX62
381,aflplusplus,108,60,4,proj4-2017-08-14-IDX62
382,afl,105,60,5,proj4-2017-08-14-IDX62
383,eclipser,105,120,6,proj4-2017-08-14-IDX62
384,aflplusplus,832,900,1,freetype2-2017-IDX58
385,eclipser,767,900,2,freetype2-2017-IDX58
386,afl,741,720,3,freetype2-2017-IDX58
387,libfuzzer,615,780,4,freetype2-2017-IDX58
388,honggfuzz,451,900,5,freetype2-2017-IDX58
389,entropic,368,900,6,freetype2-2017-IDX58
390,honggfuzz,287,720,1,freetype2-2017-IDX36
391,eclipser,287,900,2,freetype2-2017-IDX36
392,afl,284,420,3,freetype2-2017-IDX36
393,entropic,251,540,4,freetype2-2017-IDX36
394,libfuzzer,248,480,5,freetype2-2017-IDX36
395,aflplusplus,111,60,6,freetype2-2017-IDX36
396,aflplusplus,160,60,1,re2-2014-12-09-IDX46
397,entropic,160,60,1,re2-2014-12-09-IDX46
398,honggfuzz,160,60,1,re2-2014-12-09-IDX46
399,libfuzzer,160,60,1,re2-2014-12-09-IDX46
400,afl,160,60,1,re2-2014-12-09-IDX46
401,eclipser,160,120,2,re2-2014-12-09-IDX46
402,libfuzzer,20,60,1,libjpeg-turbo-07-2017-IDX72
403,entropic,20,60,1,libjpeg-turbo-07-2017-IDX72
404,aflplusplus,20,60,1,libjpeg-turbo-07-2017-IDX72
405,afl,20,60,1,libjpeg-turbo-07-2017-IDX72
406,eclipser,20,60,1,libjpeg-turbo-07-2017-IDX72
407,honggfuzz,20,60,1,libjpeg-turbo-07-2017-IDX72
408,aflplusplus,59,60,1,re2-2014-12-09-IDX39
409,afl,59,60,1,re2-2014-12-09-IDX39
410,eclipser,59,60,1,re2-2014-12-09-IDX39
411,honggfuzz,59,60,1,re2-2014-12-09-IDX39
412,entropic,59,60,1,re2-2014-12-09-IDX39
413,libfuzzer,58,60,2,re2-2014-12-09-IDX39
414,eclipser,127,60,1,libpcap_fuzz_both-IDX84
415,aflplusplus,127,60,1,libpcap_fuzz_both-IDX84
416,honggfuzz,127,60,1,libpcap_fuzz_both-IDX84
417,libfuzzer,127,120,2,libpcap_fuzz_both-IDX84
418,entropic,127,120,2,libpcap_fuzz_both-IDX84
419,afl,127,120,2,libpcap_fuzz_both-IDX84
420,aflplusplus,139,240,1,libxslt_xpath-IDX50
421,eclipser,138,600,2,libxslt_xpath-IDX50
422,entropic,137,180,3,libxslt_xpath-IDX50
423,afl,137,420,4,libxslt_xpath-IDX50
424,libfuzzer,137,600,5,libxslt_xpath-IDX50
425,honggfuzz,136,360,6,libxslt_xpath-IDX50
426,entropic,28,60,1,libpng-1.2.56-IDX80
427,afl,28,60,1,libpng-1.2.56-IDX80
428,aflplusplus,28,60,1,libpng-1.2.56-IDX80
429,eclipser,28,180,2,libpng-1.2.56-IDX80
430,honggfuzz,28,180,2,libpng-1.2.56-IDX80
431,libfuzzer,26,60,3,libpng-1.2.56-IDX80
432,aflplusplus,3732,840,1,sqlite3_ossfuzz-IDX94
433,libfuzzer,3637,780,2,sqlite3_ossfuzz-IDX94
434,eclipser,3599,900,3,sqlite3_ossfuzz-IDX94
435,afl,3565,900,4,sqlite3_ossfuzz-IDX94
436,entropic,3450,900,5,sqlite3_ossfuzz-IDX94
437,honggfuzz,3435,840,6,sqlite3_ossfuzz-IDX94
438,honggfuzz,67,120,1,proj4-2017-08-14-IDX5
439,aflplusplus,67,300,2,proj4-2017-08-14-IDX5
440,entropic,67,540,3,proj4-2017-08-14-IDX5
441,libfuzzer,61,60,4,proj4-2017-08-14-IDX5
442,eclipser,61,660,5,proj4-2017-08-14-IDX5
443,afl,61,720,6,proj4-2017-08-14-IDX5
444,eclipser,57,300,1,openssl_x509-IDX5
445,afl,52,240,2,openssl_x509-IDX5
446,aflplusplus,52,240,2,openssl_x509-IDX5
447,libfuzzer,51,420,3,openssl_x509-IDX5
448,entropic,50,720,4,openssl_x509-IDX5
449,honggfuzz,36,420,5,openssl_x509-IDX5
450,eclipser,868,780,1,php_php-fuzz-parser-IDX18
451,afl,863,840,2,php_php-fuzz-parser-IDX18
452,aflplusplus,861,840,3,php_php-fuzz-parser-IDX18
453,libfuzzer,855,720,4,php_php-fuzz-parser-IDX18
454,entropic,853,780,5,php_php-fuzz-parser-IDX18
